entity_id	valid	rejected	polled	electors	UPFA	UNP	USP	JSP	ULPP	NLF	RPP	SLNF	ULF	DUA	SEP	SLPF	UNAF	__OTHER
EC-04G	45664	660	46324	61006	19058	25874	233	231	55	48	23	38	38	28	14	14	10	0
EC-04H	52052	630	52682	69243	22670	28894	124	120	83	37	16	29	25	16	21	12	5	0
EC-04I	26811	335	27146	36326	9435	17130	55	55	57	20	15	6	14	7	10	6	1	0
EC-04J	55934	594	56528	72329	27428	27791	159	210	100	48	50	46	34	26	19	12	11	0
EC-04K	54445	726	55171	71840	22733	30979	203	181	90	55	40	45	45	29	24	14	7	0
EC-04L	62603	1036	63639	84167	25790	35829	276	258	86	70	56	64	65	41	27	19	22	0
EC-04M	59453	965	60418	80003	28544	29882	296	277	85	74	56	63	44	40	48	28	16	0
EC-04P	26306	410	26716	26716	15686	10502	12	15	57	8	3	5	4	2	12	0	0	0
EC-05	250620	3785	254405	332515	120533	125937	1212	1217	342	356	224	228	208	141	95	76	51	0
EC-05A	83778	1073	84851	111401	43853	38692	325	361	102	117	84	71	61	41	31	23	17	0
EC-05B	46781	679	47460	60990	23637	22249	243	279	37	86	51	65	45	35	28	14	12	0
EC-05C	51439	932	52371	71171	20945	29637	278	235	88	73	33	34	48	25	17	15	11	0
EC-05D	58129	955	59084	78314	25551	31449	362	334	96	78	55	58	53	39	19	24	11	0
EC-05P	10493	146	10639	10639	6547	3910	4	8	19	2	1	0	1	1	0	0	0	0
EC-06	355875	5410	361285	454528	99550	250428	2622	1465	376	287	202	199	215	164	146	137	84	0
EC-06A	192961	2841	195802	246062	33453	156343	1631	689	182	115	79	67	125	73	90	74	40	0
EC-06B	51548	576	52124	65998	17645	33073	378	204	51	35	27	29	27	16	23	24	16	0
EC-06C	48691	843	49534	63421	20725	27061	277	285	58	57	46	58	33	40	18	18	15	0
EC-06D	55519	1003	56522	71744	23688	30852	333	285	74	78	50	45	30	35	15	21	13	0
EC-06P	7156	147	7303	7303	4039	3099	3	2	11	2	0	0	0	0	0	0	0	0
EC-07	594468	5540	600008	751327	347233	239320	2244	2173	873	524	517	469	388	305	221	136	65	0
EC-07A	36652	291	36943	48826	20743	15460	133	125	34	20	36	26	16	19	28	8	4	0
EC-07B	51110	509	51619	64864	30418	20093	151	170	59	48	49	42	25	25	19	4	7	0
EC-07C	49253	481	49734	64111	31157	17438	164	179	73	49	60	42	32	29	17	8	5	0
EC-07D	65546	572	66118	82282	38779	25767	296	268	100	68	64	70	53	41	15	17	8	0
EC-07E	74929	654	75583	89156	42304	31489	301	354	112	71	82	60	61	39	29	16	11	0
EC-07F	69530	699	70229	85786	40558	27764	354	350	112	84	68	78	53	40	27	28	14	0
EC-07G	56265	498	56763	73737	34259	21330	221	176	64	47	41	32	27	25	31	9	3	0
EC-07H	52678	520	53198	71425	24972	27166	199	104	85	24	23	28	30	23	11	11	2	0
EC-07I	61779	560	62339	78496	36424	24570	222	211	107	54	43	39	40	27	20	17	5	0
EC-07J	57949	495	58444	73606	35002	22164	194	233	80	54	47	48	49	35	19	18	6	0
EC-07P	18777	261	19038	19038	12617	6079	9	3	47	5	4	4	2	2	5	0	0	0
EC-08	451722	4077	455799	577327	279411	165837	1687	1877	554	524	451	451	277	320	140	119	74	0
EC-08A	66173	879	67052	82636	36916	28015	370	330	87	109	73	83	52	54	32	33	19	0
EC-08B	64118	571	64689	82128	40567	22366	294	368	75	90	98	88	45	71	19	27	10	0
EC-08C	67246	570	67816	84867	41091	25103	279	326	68	98	63	79	43	51	20	18	7	0
EC-08D	58237	458	58695	75953	37641	19771	197	229	58	84	55	78	47	37	17	14	9	0
EC-08E	55354	415	55769	73005	35319	19288	191	216	96	51	68	42	29	30	11	5	8	0
EC-08F	61322	483	61805	79784	37829	22941	127	162	77	36	37	26	23	28	19	10	7	0
EC-08G	65065	568	65633	84614	40027	24225	226	242	66	52	50	53	36	48	15	12	13	0
EC-08P	14207	133	14340	14340	10021	4128	3	4	27	4	7	2	2	1	7	0	1	0
EC-09	319925	2928	322853	406270	202918	112712	1066	1217	430	370	352	290	162	196	84	100	28	0
EC-09A	68789	645	69434	88528	42897	24784	292	298	100	84	110	81	43	52	19	21	8	0
EC-09B	56713	492	57205	72862	36615	19290	211	247	81	57	47	56	30	38	16	19	6	0
EC-09C	80319	695	81014	102009	53291	25992	232	307	107	93	103	66	38	41	24	24	1	0
EC-09D	104513	1012	105525	133196	63197	40006	330	364	117	133	91	86	50	65	25	36	13	0
EC-09P	9591	84	9675	9675	6918	2640	1	1	25	3	1	1	1	0	0	0	0	0
EC-10	7868	656	8524	707970	1967	5523	72	34	120	24	12	15	21	31	29	16	4	0
EC-10-	3599	107	3706	3706	979	2548	26	12	1	1	2	4	6	10	4	4	2	0
EC-10A	263	13	276	52986	139	98	3	3	3	2	0	0	1	4	10	0	0	0
EC-10B	263	15	278	62781	53	191	3	3	0	2	3	2	1	0	2	3	0	0
EC-10C	260	7	267	67133	97	148	2	3	0	2	2	0	2	3	0	1	0	0
EC-10D	340	17	357	68783	64	256	11	1	0	1	0	0	3	3	0	1	0	0
EC-10E	362	26	388	63752	54	267	14	5	1	5	3	4	4	2	1	2	0	0
EC-10F	64	1	65	55499	11	52	0	0	1	0	0	0	0	0	0	0	0	0
EC-10G	35	4	39	47188	9	25	0	0	0	1	0	0	0	0	0	0	0	0
EC-10H	50	3	53	62022	10	33	2	0	0	2	0	1	0	1	1	0	0	0
EC-10I	308	5	313	70251	100	198	2	1	2	0	0	0	1	4	0	0	0	0
EC-10J	438	17	455	62089	124	301	4	2	3	1	0	0	0	1	1	1	0	0
EC-10K	1	0	1	89454	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EC-10P	1885	441	2326	2326	327	1405	5	4	109	7	2	4	3	3	10	4	2	0
EC-11	84476	1398	85874	515573	17197	65798	520	286	115	133	71	68	62	107	69	27	23	0
EC-11-	14620	181	14801	14801	5212	9176	80	71	10	9	12	2	6	25	8	5	4	0
EC-11A	23065	361	23426	78906	2183	20463	160	54	21	50	18	21	21	44	18	7	5	0
EC-11B	42262	766	43028	104884	7936	33553	276	155	62	68	37	40	33	37	37	15	13	0
EC-11C	891	11	902	66596	510	372	2	1	1	1	2	1	1	0	0	0	0	0
EC-11P	3638	79	3717	250386	1356	2234	2	5	21	5	2	4	1	1	6	0	1	0
EC-12	152837	1778	154615	323337	28836	121514	892	578	225	149	124	43	142	153	104	59	18	0
EC-12A	40369	503	40872	91410	11105	28482	214	253	43	52	52	12	37	44	43	28	4	0
EC-12B	82428	970	83398	147979	15798	65401	474	265	136	51	51	20	73	93	41	18	7	0
EC-12C	25489	247	25736	79339	905	24142	201	58	28	42	19	10	29	16	19	13	7	0
EC-12P	4551	58	4609	4609	1028	3489	3	2	18	4	2	1	3	0	1	0	0	0
EC-13	285267	2941	288208	407918	122329	159198	1091	1072	331	188	297	134	203	215	82	89	38	0
EC-13A	103179	949	104128	136738	57624	44218	275	418	131	86	127	89	58	55	37	45	16	0
EC-13B	46641	517	47158	66666	21029	24969	220	201	34	21	54	7	26	57	13	7	3	0
EC-13C	38779	456	39235	62251	8951	29316	175	125	68	15	19	9	43	33	13	9	3	0
EC-13D	84359	863	85222	129798	27704	55467	419	314	76	55	93	29	73	68	18	27	16	0
EC-13P	12309	156	12465	12465	7021	5228	2	14	22	11	4	0	3	2	1	1	0	0
EC-14	150334	2094	152428	477540	55680	92197	792	558	276	157	157	71	132	165	67	56	26	0
EC-14-	30	0	30	30	11	19	0	0	0	0	0	0	0	0	0	0	0	0
EC-14A	39759	406	40165	66126	21353	17835	142	153	56	50	50	26	29	35	14	9	7	0
EC-14B	53106	956	54062	91095	10878	41369	299	138	133	65	37	27	56	38	33	24	9	0
EC-14C	48808	542	49350	81534	18817	29061	338	257	45	32	65	16	45	82	18	22	10	0
EC-14P	8631	190	8821	238755	4621	3913	13	10	42	10	5	2	2	10	2	1	0	0
EC-15	896497	8458	904955	1162099	468507	418809	2357	2369	1142	695	613	566	524	363	255	187	110	0
EC-15A	69335	610	69945	91698	37876	30720	163	219	64	66	67	43	33	38	21	17	8	0
EC-15B	63332	532	63864	83696	32978	29691	159	195	56	50	43	49	54	31	9	10	7	0
EC-15C	75322	728	76050	100497	40136	34469	214	165	51	64	67	52	41	14	18	18	13	0
EC-15D	62900	793	63693	86112	30785	31412	171	185	80	59	41	50	44	35	22	11	5	0
EC-15E	52618	540	53158	68194	29155	22919	125	137	85	47	31	30	29	28	19	8	5	0
EC-15F	52350	392	52742	67023	26365	25456	156	115	57	63	29	36	25	15	11	16	6	0
EC-15G	61195	394	61589	78140	30624	29941	168	172	77	44	43	33	26	28	21	13	5	0
EC-15H	67582	522	68104	85753	35311	31580	183	159	109	51	38	46	37	29	19	8	12	0
EC-15I	68892	658	69550	89722	34357	33874	206	145	89	39	33	37	45	26	23	8	10	0
EC-15J	67741	599	68340	85455	37231	29818	175	190	104	40	41	41	51	19	10	14	7	0
EC-15K	53467	437	53904	69821	27581	25317	138	155	72	32	39	39	30	24	18	11	11	0
EC-15L	58896	625	59521	77003	28791	29564	136	147	90	24	40	22	37	12	18	14	1	0
EC-15M	58867	607	59474	77819	29513	28658	172	201	83	48	43	38	38	30	19	13	11	0
EC-15N	46391	607	46998	63143	24658	21100	181	166	42	51	48	40	29	28	21	20	7	0
EC-15P	37609	414	38023	38023	23146	14290	10	18	83	17	10	10	5	6	6	6	2	0
EC-16	333783	3536	337319	478032	160686	169264	1063	811	502	287	292	203	214	183	175	72	31	0
EC-16A	60891	1028	61919	95350	19939	40060	324	182	65	77	55	36	38	52	42	15	6	0
EC-16B	69139	632	69771	96744	38002	30358	202	202	73	46	91	43	47	39	24	9	3	0
EC-16C	74378	685	75063	102987	36115	37372	234	189	119	68	59	50	49	49	44	22	8	0
EC-16D	56150	445	56595	79631	29227	26367	131	96	96	50	41	30	33	13	48	13	5	0
EC-16E	65906	637	66543	95892	33040	32191	169	137	123	43	45	42	47	30	17	13	9	0
EC-16P	7319	109	7428	7428	4363	2916	3	5	26	3	1	2	0	0	0	0	0	0
EC-17	419434	4563	423997	562259	231040	182956	1378	1448	478	569	428	367	261	207	115	115	72	0
EC-17A	51427	446	51873	71396	29071	21647	192	192	54	81	69	31	33	19	14	14	10	0
EC-17B	49011	481	49492	68066	26330	22027	184	201	34	70	54	45	20	15	7	14	10	0
EC-17C	59764	563	60327	80971	33726	25382	155	169	82	65	54	44	32	25	14	11	5	0
EC-17D	62384	671	63055	86433	31575	29829	262	250	77	107	74	62	61	34	21	21	11	0
EC-17E	80879	836	81715	106717	46073	33758	247	256	107	99	80	94	54	45	18	28	20	0
EC-17F	39925	429	40354	54554	22454	16897	136	160	37	54	43	49	26	31	18	13	7	0
EC-17G	51224	506	51730	68671	26220	24314	181	196	53	65	46	37	32	37	20	14	9	0
EC-17P	24820	631	25451	25451	15591	9102	21	24	34	28	8	5	3	1	3	0	0	0
EC-18	210030	2002	212032	271609	110499	97142	589	683	226	226	221	119	141	81	31	48	24	0
EC-18A	55587	536	56123	72430	31081	23819	176	199	65	52	61	43	39	28	6	12	6	0
EC-18B	53388	402	53790	69230	27230	25533	181	172	42	61	50	25	48	18	5	15	8	0
EC-18C	93183	936	94119	121949	47188	44951	231	308	112	106	108	47	51	32	19	20	10	0
EC-18P	7872	128	8000	8000	5000	2839	1	4	7	7	2	4	3	3	1	1	0	0
EC-19	426599	6825	433424	550926	192734	226582	2327	1990	614	468	401	322	363	239	224	217	118	0
EC-19A	60523	947	61470	78986	26877	32592	286	307	79	100	67	62	51	38	28	24	12	0
EC-19B	34094	611	34705	45049	16803	16423	258	268	45	67	48	45	48	29	25	27	8	0
EC-19C	41491	874	42365	54910	15717	25176	135	207	53	30	39	18	38	20	29	19	10	0
EC-19D	36623	512	37135	48670	17494	18624	155	129	58	29	30	15	29	22	16	14	8	0
EC-19E	44511	785	45296	57900	19946	23638	310	249	73	50	27	53	46	36	35	29	19	0
EC-19F	44218	588	44806	55655	21387	22127	227	165	78	46	53	33	26	21	20	23	12	0
EC-19G	50645	640	51285	64481	23736	26108	281	200	76	47	49	41	41	23	8	18	17	0
EC-19H	54393	888	55281	71292	24294	29137	315	285	65	61	41	32	46	26	36	37	18	0
EC-19I	42582	736	43318	56220	15856	25935	354	174	51	29	45	17	35	24	24	25	13	0
EC-19P	17519	244	17763	17763	10624	6822	6	6	36	9	2	6	3	0	3	1	1	0
EC-20	221450	2636	224086	285327	126094	92244	673	943	239	295	286	200	133	124	102	73	44	0
EC-20A	51612	567	52179	68660	28663	22103	169	280	56	64	69	59	43	38	32	23	13	0
EC-20B	66318	897	67215	87943	37575	27754	254	304	66	86	87	56	37	31	31	23	14	0
EC-20C	94419	1055	95474	119506	54066	39117	248	352	101	137	127	84	52	54	38	26	17	0
EC-20P	9101	117	9218	9218	5790	3270	2	7	16	8	3	1	1	1	1	1	0	0
EC-21	555074	5510	560584	678909	294260	252838	2220	2122	795	645	557	496	393	330	134	206	78	0
EC-21A	67302	502	67804	83705	37243	29255	254	210	77	69	62	34	42	25	12	12	7	0
EC-21B	81572	720	82292	100230	43251	37253	259	276	111	73	91	83	73	48	14	27	13	0
EC-21C	54537	570	55107	65445	26511	27178	257	206	100	64	53	50	36	36	17	25	4	0
EC-21D	70587	836	71423	87938	35410	34049	314	306	100	91	62	95	50	48	22	31	9	0
EC-21E	68605	805	69410	84595	33169	34413	309	278	87	82	73	44	48	41	10	33	18	0
EC-21F	65582	560	66142	78157	34569	29987	324	271	111	71	59	46	50	40	18	26	10	0
EC-21G	43860	414	44274	52156	24463	18740	176	175	67	47	58	33	37	26	15	16	7	0
EC-21H	92479	961	93440	115991	52947	38163	324	398	107	142	97	110	57	66	24	34	10	0
EC-21P	10550	142	10692	10692	6697	3800	3	2	35	6	2	1	0	0	2	2	0	0
EC-22	468773	4795	473568	601872	239184	223483	1804	1457	707	437	375	400	355	231	152	117	71	0
EC-22A	63283	613	63896	80201	32231	30391	176	125	84	47	52	57	50	36	14	10	10	0
EC-22B	47616	443	48059	61932	25086	21875	198	154	60	55	37	57	39	21	19	10	5	0
EC-22C	48438	421	48859	63755	27444	20451	150	123	73	46	36	31	33	19	16	10	6	0
EC-22D	45178	496	45674	59711	24559	20078	139	121	82	38	30	33	37	25	19	11	6	0
EC-22E	58709	602	59311	78208	25701	32203	220	194	111	60	45	49	52	33	15	17	9	0
EC-22F	37846	434	38280	49586	18391	18906	179	121	53	40	33	42	30	22	7	17	5	0
EC-22G	51874	536	52410	65737	25080	26056	242	190	60	48	48	32	41	25	24	15	13	0
EC-22H	51909	481	52390	65989	26522	24684	224	175	70	46	52	42	36	24	16	9	9	0
EC-22I	45573	526	46099	58163	22653	22087	272	248	69	51	36	52	37	23	21	18	6	0
EC-22P	18347	243	18590	18590	11517	6752	4	6	45	6	6	5	0	3	1	0	2	0
LK	9717039	109869	9826908	14136979	4887152	4706366	35425	31238	14458	9296	7685	6639	6357	5082	3500	2525	1316	0
