entity_id	valid	rejected	polled	electors	UNP	SLFP	JVP	ACTC	LSSP	NSSP	__OTHER
EC-12A	29911	880	30791	46195	15950	7994	258	5250	304	155	0
EC-12B	54727	1120	55847	80394	24220	9922	580	19338	438	229	0
EC-12C	33708	813	34521	45891	7129	3485	415	21918	531	230	0
EC-12P	1730	66	1796	1796	795	287	34	589	21	4	0
EC-13	160970	2101	163071	205838	90772	53096	7679	8079	967	377	0
EC-13A	53099	486	53585	64740	29049	20552	3039	96	278	85	0
EC-13B	28476	374	28850	35982	19079	6710	1197	1214	221	55	0
EC-13C	28599	449	29048	37509	18347	8197	861	926	153	115	0
EC-13D	49240	778	50018	66037	23286	17265	2518	5748	304	119	0
EC-13P	1556	14	1570	1570	1011	372	64	95	11	3	0
EC-14	93596	1795	95391	134948	45522	31700	5395	10068	635	276	0
EC-14A	34455	440	34895	43980	15823	13097	3536	1708	211	80	0
EC-14B	26872	777	27649	49244	14503	5424	1305	5366	174	100	0
EC-14C	31009	536	31545	40422	14529	12900	509	2760	228	83	0
EC-14P	1260	42	1302	1302	667	279	45	234	22	13	0
EC-15	619978	5431	625409	727202	345769	248479	21835	509	2594	792	0
EC-15A	46568	369	46937	53576	23438	20998	1882	34	178	38	0
EC-15B	43441	314	43755	50467	24544	17307	1262	35	242	51	0
EC-15C	50518	317	50835	58528	27489	20566	2141	31	201	90	0
EC-15D	45559	580	46139	55516	28098	15608	1496	41	267	49	0
EC-15E	37408	325	37733	43670	21220	14914	1060	21	156	37	0
EC-15F	37721	384	38105	43356	21475	14991	1048	22	148	37	0
EC-15G	44158	257	44415	50788	23479	19760	742	32	116	29	0
EC-15H	48924	324	49248	57167	25597	21050	2003	31	198	45	0
EC-15I	49506	391	49897	57287	28797	19142	1247	33	231	56	0
EC-15J	50512	350	50862	58869	28872	19429	1897	50	198	66	0
EC-15K	40134	637	40771	47812	22384	16625	911	36	124	54	0
EC-15L	39593	295	39888	50454	23370	14638	1300	38	159	88	0
EC-15M	41064	435	41499	48522	23127	16033	1580	51	203	70	0
EC-15N	35291	337	35628	41493	17538	14470	3048	52	133	50	0
EC-15P	9581	116	9697	9697	6341	2948	218	2	40	32	0
EC-16	217980	1995	219975	270207	128877	80006	7001	817	1040	239	0
EC-16A	34171	389	34560	45817	24089	8448	706	592	290	46	0
EC-16B	43218	458	43676	54207	20789	19757	2370	48	182	72	0
EC-16C	49617	479	50096	61128	30142	17553	1525	109	243	45	0
EC-16D	40818	357	41175	49638	23324	16299	1016	23	119	37	0
EC-16E	47647	289	47936	56885	28801	17293	1318	31	171	33	0
EC-16P	2509	23	2532	2532	1732	656	66	14	35	6	0
EC-17	236523	2294	238817	282018	117873	102973	13911	222	1148	396	0
EC-17A	34645	350	34995	41463	16590	15079	2749	31	144	52	0
EC-17B	31234	347	31581	36657	15259	13029	2719	32	166	29	0
EC-17C	32982	366	33348	41615	15856	14944	1891	45	187	59	0
EC-17D	35678	249	35927	42409	18894	15054	1486	32	172	40	0
EC-17E	45678	474	46152	54762	22467	20442	2410	32	180	147	0
EC-17F	24322	249	24571	28761	11300	10965	1813	34	180	30	0
EC-17G	28610	209	28819	32927	15454	12281	733	13	98	31	0
EC-17P	3374	50	3424	3424	2053	1179	110	3	21	8	0
EC-18	105615	1064	106679	128822	59414	37243	8138	228	451	141	0
EC-18A	33989	315	34304	40329	17728	12818	3181	35	169	58	0
EC-18B	35023	312	35335	43240	20324	11777	2736	24	140	22	0
EC-18C	35416	426	35842	44055	20616	12286	2161	166	133	54	0
EC-18P	1187	11	1198	1198	746	362	60	3	9	7	0
EC-19	240440	2982	243422	284801	141062	88462	7713	625	2115	463	0
EC-19A	29148	287	29435	33514	21340	7076	443	27	229	33	0
EC-19B	23703	289	23992	27455	12251	10836	242	62	237	75	0
EC-19C	24018	395	24413	28077	14400	8830	379	118	230	61	0
EC-19D	22003	228	22231	27419	12435	8485	717	76	253	37	0
EC-19E	25778	351	26129	30598	14196	10249	1011	69	212	41	0
EC-19F	28993	335	29328	33670	17564	9251	1851	54	206	67	0
EC-19G	30791	437	31228	36128	18673	10078	1745	61	199	35	0
EC-19H	29522	375	29897	35570	15718	12755	652	97	245	55	0
EC-19I	21913	242	22155	27756	11822	9257	482	55	242	55	0
EC-19P	4571	43	4614	4614	2663	1645	191	6	62	4	0
EC-20	103821	1553	105374	127799	51264	44115	7171	163	882	226	0
EC-20A	30260	458	30718	35895	16821	11820	1180	55	313	71	0
EC-20B	35126	526	35652	41675	16836	16060	1721	73	343	93	0
EC-20C	37200	563	37763	48988	16874	15797	4225	35	214	55	0
EC-20P	1235	6	1241	1241	733	438	45	0	12	7	0
EC-21	345604	3407	349011	406275	175903	152506	11283	422	1996	3494	0
EC-21A	47627	855	48482	56592	23721	19742	851	54	272	2987	0
EC-21B	51453	499	51952	61986	24765	25402	860	51	273	102	0
EC-21C	33754	340	34094	38662	17212	15106	1126	35	214	61	0
EC-21D	45366	336	45702	51837	22923	20679	1440	76	195	53	0
EC-21E	44671	289	44960	51385	24986	17936	1339	62	291	57	0
EC-21F	42962	324	43286	48510	21556	20308	779	52	205	62	0
EC-21G	28293	237	28530	32904	13806	13644	629	33	129	52	0
EC-21H	47427	505	47932	60326	24459	18287	4161	59	378	83	0
EC-21P	4051	22	4073	4073	2475	1402	98	0	39	37	0
EC-22	342762	4537	347299	411994	195444	126538	13706	376	6184	514	0
EC-22A	48448	538	48986	57629	26926	18803	2201	45	432	41	0
EC-22B	37407	490	37897	45109	19599	15842	1477	32	403	54	0
EC-22C	36735	443	37178	45146	20184	14567	1506	31	384	63	0
EC-22D	34355	328	34683	41612	19130	13220	1799	17	168	21	0
EC-22E	40166	275	40441	48873	24108	13814	1945	29	219	51	0
EC-22F	29022	219	29241	34504	17183	10433	1197	26	154	29	0
EC-22G	38253	771	39024	45811	22889	12517	862	78	1838	69	0
EC-22H	39399	856	40255	47333	22645	13749	1198	52	1683	72	0
EC-22I	33576	572	34148	40531	19249	11997	1371	66	789	104	0
EC-22P	5401	45	5446	5446	3531	1596	150	0	114	10	0
LK	6520156	80470	6600626	8263358	3450815	2546348	273428	173934	58531	16995	0
