entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMP	__OTHER
EC-10F	8182	303	8485	52084	1662	3400	3120	0
EC-10G	9451	772	10223	40175	2620	3921	2910	0
EC-10H	10027	1035	11062	51595	2300	3704	4023	0
EC-10I	8286	482	8768	61936	2000	3362	2924	0
EC-10J	10637	479	11116	49229	3475	3546	3616	0
EC-10K	10453	378	10831	53604	3793	4064	2596	0
EC-11	18969	708	19677	95061	10580	4889	3500	0
EC-11A	6966	149	7115	47060	4500	1431	1035	0
EC-11B	6147	230	6377	6377	2982	1819	1346	0
EC-11C	5856	329	6185	41624	3098	1639	1119	0
EC-12	120918	5163	126081	215983	61657	21018	38243	0
EC-12A	32799	1079	33878	59421	15289	8375	9135	0
EC-12B	53495	1702	55197	99717	29976	8547	14972	0
EC-12C	34235	2373	36608	56447	16227	4031	13977	0
EC-12P	389	9	398	398	165	65	159	0
EC-13	189909	3802	193711	266396	96420	83137	10352	0
EC-13A	68005	831	68836	94068	34251	32915	839	0
EC-13B	33227	857	34084	44790	17866	12983	2378	0
EC-13C	30220	573	30793	44077	18746	9708	1766	0
EC-13D	57846	1524	59370	82833	25262	27239	5345	0
EC-13P	611	17	628	628	295	292	24	0
EC-14	80620	1326	81949	152540	36841	29679	14103	0
EC-14A	25841	404	26245	47693	12319	12733	789	0
EC-14B	22257	565	22822	56026	8112	5767	8378	0
EC-14C	32276	352	32631	48570	16283	11087	4909	0
EC-14P	246	5	251	251	127	92	27	0
EC-15	388599	4281	392880	734453	198662	182220	7717	0
EC-15A	27367	366	27733	60948	12687	13705	975	0
EC-15B	21988	235	22223	56592	11988	9536	464	0
EC-15C	15993	207	16200	16200	7250	7950	793	0
EC-15D	20783	214	20997	59781	12154	8193	436	0
EC-15E	20605	181	20786	48131	10150	10208	247	0
EC-15F	24308	259	24567	48087	11747	12131	430	0
EC-15G	38625	336	38961	55318	18932	19275	418	0
EC-15H	29317	389	29706	61644	15140	13662	515	0
EC-15I	36218	338	36556	62275	18063	17660	495	0
EC-15J	38364	430	38794	63877	21532	16301	531	0
EC-15K	30315	375	30690	51363	13915	15872	528	0
EC-15L	25990	300	26290	53193	13598	11851	541	0
EC-15M	38451	380	38831	52815	20429	17465	557	0
EC-15N	20275	271	20546	44229	11077	8411	787	0
EC-16	224255	2965	227220	321387	125339	94823	4093	0
EC-16A	37790	632	38422	57106	24362	12613	815	0
EC-16B	40789	393	41182	67553	21252	18875	662	0
EC-16C	52165	731	52896	70574	27932	23485	748	0
EC-16D	41630	388	42018	57526	22194	18585	851	0
EC-16E	49582	736	50318	66244	28407	20234	941	0
EC-16P	2299	85	2384	2384	1192	1031	76	0
EC-17	132634	2207	134841	335551	56951	73154	2529	0
EC-17A	21280	459	21739	47805	8367	12542	371	0
EC-17B	11173	244	11417	42773	4023	7038	112	0
EC-17C	22443	371	22814	50340	10310	11516	617	0
EC-17D	30806	428	31234	52547	14857	15492	457	0
EC-17E	24195	365	24560	65945	8947	14637	611	0
EC-17F	8183	211	8394	33651	4027	4018	138	0
EC-17G	13077	129	13206	41013	5683	7203	191	0
EC-17P	1477	0	1477	1477	737	708	32	0
EC-18	47522	1157	48679	164213	26392	20173	957	0
EC-18A	4681	44	4725	50128	2433	2123	125	0
EC-18B	10250	448	10698	48728	6592	3497	161	0
EC-18C	32150	634	32784	64885	17179	14320	651	0
EC-18P	441	31	472	472	188	233	20	0
EC-19	134424	3276	137700	311473	80779	50223	3422	0
EC-19A	25171	435	25606	46724	16990	7682	499	0
EC-19B	12186	285	12471	12471	6397	5575	214	0
EC-19C	10786	425	11211	31509	7056	3500	230	0
EC-19D	8592	185	8777	31924	4968	3160	464	0
EC-19E	17133	466	17599	35367	10005	6585	543	0
EC-19F	4263	130	4393	38520	3255	956	52	0
EC-19G	11303	232	11535	41846	7491	3580	232	0
EC-19H	26149	717	26866	42467	14191	11182	776	0
EC-19I	18841	401	19242	30645	10426	8003	412	0
EC-20	26692	851	27543	162135	16872	9123	697	0
EC-20A	14969	507	15476	43093	9091	5507	371	0
EC-20B	3257	116	3373	51823	1781	1366	110	0
EC-20C	8295	191	8486	67011	5895	2188	212	0
EC-20P	171	37	208	208	105	62	4	0
EC-21	349017	4113	353130	460735	180622	159879	8516	0
EC-21A	44965	533	45498	61203	24281	18647	2037	0
EC-21B	55147	608	55755	70048	26029	27658	1460	0
EC-21C	35740	400	36140	43820	18370	16719	651	0
EC-21D	47647	516	48163	59661	24802	22074	771	0
EC-21E	45995	538	46533	58565	26643	18744	608	0
EC-21F	45372	467	45839	54001	23198	21298	876	0
EC-21G	28490	369	28859	36544	14316	12994	1180	0
EC-21H	42217	615	42832	73382	21204	20184	829	0
EC-21P	3444	67	3511	3511	1779	1561	104	0
EC-22	295412	4277	299689	440836	168720	119769	6923	0
EC-22A	36584	396	36980	61669	20951	15046	587	0
EC-22B	31472	570	32042	48269	16732	14160	580	0
EC-22C	31087	474	31561	48217	15167	15226	694	0
EC-22D	29058	411	29469	43847	16033	12490	535	0
EC-22E	37052	452	37504	55270	22423	14094	535	0
EC-22F	24834	369	25203	37459	14894	9605	335	0
EC-22G	36319	516	36835	48662	21614	13452	1253	0
EC-22H	36205	542	36747	50045	21282	13249	1674	0
EC-22I	29252	438	29690	43740	17649	11008	595	0
EC-22P	3549	109	3658	3658	1975	1439	135	0
LK	5094754	91499	5186256	9283143	2569199	2289857	235701	0
