entity_id	valid	rejected	polled	electors	UNP	PA	JVP	TULF	SLMC	EPDP	SU	NLF	DPLF	IND9	USP	IND4	NDP	DLF	IND3	ULF	IND7	INDP	ESMS	MULF	IND1	IND5	SMBP	JSP	PFF	IND2	LP	RJP	DUNF	IND6	__OTHER
EC-04J	49479	2512	51991	66518	24871	20318	3243	0	0	0	508	344	0	0	0	6	0	0	6	0	0	0	36	50	12	3	12	38	15	2	0	1	0	5	9
EC-04K	47743	3068	50811	65863	28101	15990	2859	0	0	0	292	294	0	0	0	12	0	0	5	0	0	0	45	37	7	5	19	18	19	11	0	16	0	5	8
EC-04L	52985	4338	57323	77854	25089	24798	2168	0	0	0	228	467	0	0	0	4	0	0	3	0	0	0	41	75	8	2	22	28	27	7	0	6	0	6	6
EC-04M	51453	3780	55233	72986	22110	25630	2811	0	0	0	195	435	0	0	0	10	0	0	4	0	0	0	64	63	9	6	15	18	37	8	0	7	0	12	19
EC-04P	19921	718	20639	20639	9193	8190	2262	0	0	0	195	38	0	0	0	1	0	0	2	0	0	0	5	3	3	0	10	12	1	5	0	0	0	1	0
EC-05	218090	15449	233539	307200	109991	88999	16063	0	0	0	0	1824	0	0	0	0	0	0	0	365	0	223	139	0	0	0	0	67	103	0	152	28	0	0	136
EC-05A	71369	5225	76594	102302	34066	29281	6958	0	0	0	0	649	0	0	0	0	0	0	0	130	0	76	36	0	0	0	0	27	24	0	55	10	0	0	57
EC-05B	39801	2740	42541	56244	16117	20938	2133	0	0	0	0	402	0	0	0	0	0	0	0	64	0	40	10	0	0	0	0	10	25	0	37	4	0	0	21
EC-05C	46873	3106	49979	67034	28478	15044	2816	0	0	0	0	306	0	0	0	0	0	0	0	85	0	31	31	0	0	0	0	13	15	0	23	5	0	0	26
EC-05D	52578	4253	56831	74026	28088	20506	3179	0	0	0	0	453	0	0	0	0	0	0	0	85	0	75	60	0	0	0	0	17	39	0	37	9	0	0	30
EC-05P	7469	125	7594	7594	3242	3230	977	0	0	0	0	14	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2
EC-06	315099	28373	343472	423371	215157	77733	11080	0	0	0	642	1687	0	0	1262	36	6600	373	29	0	0	0	0	0	61	45	0	117	37	26	0	0	0	179	35
EC-06A	172305	14103	186408	228317	130633	28734	4227	0	0	0	423	848	0	0	825	26	6206	122	18	0	0	0	0	0	13	21	0	60	25	10	0	0	0	98	16
EC-06B	46337	3638	49975	62232	29549	14421	1508	0	0	0	66	243	0	0	153	2	310	22	2	0	0	0	0	0	11	3	0	23	0	4	0	0	0	17	3
EC-06C	42321	5211	47532	60044	25631	13618	2502	0	0	0	60	242	0	0	125	2	28	23	4	0	0	0	0	0	17	13	0	23	3	3	0	0	0	23	4
EC-06D	48115	5335	53450	66671	26431	18582	2184	0	0	0	62	342	0	0	154	6	46	199	5	0	0	0	0	0	19	8	0	10	8	8	0	0	0	39	12
EC-06P	6021	86	6107	6107	2913	2378	659	0	0	0	31	12	0	0	5	0	10	7	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	2	0
EC-07	541914	24561	566475	712472	238989	232931	61806	0	0	0	2328	2448	0	0	728	139	0	465	101	465	0	0	114	0	117	603	0	0	68	50	173	0	292	0	97
EC-07A	34410	1426	35836	47774	16030	13956	3930	0	0	0	180	155	0	0	42	10	0	15	3	25	0	0	4	0	5	28	0	0	0	2	5	0	16	0	4
EC-07B	47199	1942	49141	61813	20295	20409	5761	0	0	0	228	282	0	0	44	5	0	16	4	31	0	0	10	0	11	46	0	0	6	3	16	0	24	0	8
EC-07C	44906	2012	46918	60273	18632	18925	6718	0	0	0	114	240	0	0	45	8	0	9	7	46	0	0	11	0	11	68	0	0	3	5	29	0	30	0	5
EC-07D	60068	2816	62884	78967	25054	26732	7296	0	0	0	279	290	0	0	80	30	0	11	12	70	0	0	14	0	17	92	0	0	7	8	32	0	28	0	16
EC-07E	67476	3042	70518	83302	29666	30151	6717	0	0	0	113	353	0	0	133	22	0	20	23	62	0	0	17	0	19	73	0	0	15	6	24	0	50	0	12
EC-07F	62497	3928	66425	81026	27446	28326	5714	0	0	0	153	350	0	0	103	18	0	38	21	62	0	0	13	0	26	118	0	0	11	10	30	0	43	0	15
EC-07G	53041	2360	55401	71584	22487	24018	5715	0	0	0	274	214	0	0	71	11	0	72	4	51	0	0	13	0	5	51	0	0	5	5	6	0	30	0	9
EC-07H	49316	2006	51322	68949	27516	15640	5263	0	0	0	407	94	0	0	69	5	0	217	8	27	0	0	5	0	3	29	0	0	4	2	9	0	11	0	7
EC-07I	56570	2456	59026	73397	24798	25562	5426	0	0	0	253	213	0	0	84	17	0	37	9	37	0	0	16	0	6	45	0	0	8	4	13	0	32	0	10
EC-07J	52735	2355	55090	71473	21617	23508	6882	0	0	0	216	239	0	0	53	12	0	17	10	51	0	0	11	0	12	53	0	0	7	5	8	0	26	0	8
EC-07P	13696	218	13914	13914	5448	5704	2384	0	0	0	111	18	0	0	4	1	0	13	0	3	0	0	0	0	2	0	0	0	2	0	1	0	2	0	3
EC-08	403967	20820	424787	543934	171661	171141	54476	0	0	0	1854	2780	0	0	856	58	0	0	128	0	0	0	143	0	91	208	129	128	196	60	0	0	0	0	58
EC-08A	58423	4030	62453	77540	26114	24399	6776	0	0	0	135	571	0	0	178	17	0	0	30	0	0	0	33	0	14	43	18	20	53	12	0	0	0	0	10
EC-08B	56155	3878	60033	77929	23457	24577	7094	0	0	0	177	511	0	0	162	6	0	0	26	0	0	0	21	0	14	27	11	26	28	11	0	0	0	0	7
EC-08C	60727	3172	63899	79850	25372	25294	9120	0	0	0	185	437	0	0	138	11	0	0	18	0	0	0	17	0	18	29	28	22	24	6	0	0	0	0	8
EC-08D	52534	2795	55329	72590	21992	23194	6479	0	0	0	223	384	0	0	91	5	0	0	14	0	0	0	20	0	11	35	25	13	27	13	0	0	0	0	8
EC-08E	51613	2120	53733	70412	22490	20021	8378	0	0	0	223	284	0	0	91	6	0	0	16	0	0	0	23	0	6	23	11	11	17	5	0	0	0	0	8
EC-08F	56606	1983	58589	75301	24376	24480	6763	0	0	0	536	253	0	0	74	5	0	0	13	0	0	0	7	0	13	18	20	16	17	4	0	0	0	0	11
EC-08G	58903	2608	61511	81072	24241	25703	8058	0	0	0	298	330	0	0	110	8	0	0	10	0	0	0	21	0	14	33	13	20	29	9	0	0	0	0	6
EC-08P	9006	234	9240	9240	3619	3473	1808	0	0	0	77	10	0	0	12	0	0	0	1	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0
EC-09	281162	13378	294540	376126	112520	105175	59693	0	0	0	679	2101	0	0	0	0	0	0	93	336	0	0	126	0	143	0	0	0	121	53	0	0	0	0	122
EC-09A	60007	3302	63309	82382	25854	22625	10600	0	0	0	159	514	0	0	0	0	0	0	29	88	0	0	34	0	41	0	0	0	19	15	0	0	0	0	29
EC-09B	51802	2484	54286	70560	20457	21272	9385	0	0	0	111	399	0	0	0	0	0	0	20	60	0	0	20	0	23	0	0	0	24	6	0	0	0	0	25
EC-09C	71012	3028	74040	94126	25539	26745	17744	0	0	0	219	505	0	0	0	0	0	0	17	86	0	0	29	0	41	0	0	0	45	13	0	0	0	0	29
EC-09D	91401	4451	95852	122005	37939	32159	20179	0	0	0	157	671	0	0	0	0	0	0	26	101	0	0	43	0	38	0	0	0	32	18	0	0	0	0	38
EC-09P	6940	113	7053	7053	2731	2374	1785	0	0	0	33	12	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
EC-10	182974	10399	193373	635811	16012	0	241	101714	1002	56878	210	398	1395	0	403	0	0	2052	0	0	0	2669	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10A	20584	777	21361	51072	764	0	14	4304	23	15378	22	9	19	0	23	0	0	4	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10B	18650	1478	20128	60967	3445	0	48	9800	35	4609	20	55	44	0	73	0	0	461	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10C	16260	899	17159	64119	1231	0	30	8898	51	5580	21	34	77	0	29	0	0	75	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10D	23969	1370	25339	64262	1999	0	27	13539	95	7450	28	72	215	0	68	0	0	127	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10E	22061	1354	23415	61334	1753	0	40	12539	85	6300	32	70	326	0	46	0	0	689	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10F	17364	1084	18448	53941	1022	0	17	12493	36	3385	23	47	55	0	39	0	0	121	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10G	13208	823	14031	43087	1273	0	14	8525	12	2736	8	26	121	0	30	0	0	429	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10H	14576	1264	15840	54779	1218	0	15	9865	27	2221	20	31	79	0	27	0	0	28	0	0	0	1045	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10I	19229	547	19776	67057	1970	0	21	11787	334	4565	21	29	159	0	44	0	0	82	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10J	12954	624	13578	55244	974	0	12	7368	299	3647	13	21	274	0	15	0	0	20	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10K	1811	133	1944	57595	191	0	1	1100	3	431	2	4	2	0	9	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10P	2308	46	2354	2354	172	0	2	1496	2	576	0	0	24	0	0	0	0	16	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-11	94506	7855	102361	241791	26575	7831	683	41950	0	3404	89	324	9614	0	242	19	0	0	31	0	2810	0	0	0	705	17	0	0	0	17	0	26	0	53	116
EC-11A	23981	1782	25763	70850	2910	1576	39	15906	0	1742	18	124	1046	0	39	2	0	0	8	0	59	0	0	0	487	1	0	0	0	1	0	7	0	2	14
EC-11B	48403	4635	53038	94853	7069	4119	535	23965	0	1100	61	137	8316	0	79	16	0	0	22	0	2645	0	0	0	197	14	0	0	0	9	0	17	0	42	60
EC-11C	602	28	630	53158	237	298	56	1	0	2	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EC-11D	18751	1328	20079	20079	15795	1059	7	939	0	498	9	43	153	0	122	1	0	0	1	0	58	0	0	0	8	2	0	0	0	6	0	2	0	8	40
EC-11P	2769	82	2851	2851	564	779	46	1139	0	62	1	15	99	0	1	0	0	0	0	0	48	0	0	0	13	0	0	0	0	1	0	0	0	0	1
EC-12	179108	13275	192383	285739	22638	25705	119	86284	26725	4153	103	619	5601	40	0	6406	0	0	77	0	18	0	0	0	76	34	0	148	0	35	0	0	0	17	310
EC-12A	51675	4272	55947	80685	3103	2079	22	20767	18689	784	49	134	1040	19	0	4714	0	0	43	0	7	0	0	0	51	10	0	48	0	13	0	0	0	5	98
EC-12B	83162	5657	88819	130846	14903	21076	63	32805	7512	2054	40	290	3074	14	0	1046	0	0	15	0	9	0	0	0	18	14	0	51	0	12	0	0	0	4	162
EC-12C	40716	3241	43957	70548	3967	2159	31	30725	180	1265	14	195	1449	6	0	579	0	0	19	0	2	0	0	0	4	10	0	49	0	9	0	0	0	8	45
EC-12P	3555	105	3660	3660	665	391	3	1987	344	50	0	0	38	1	0	67	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	5
EC-13	280189	17225	297439	368559	58468	65246	9502	48788	75257	5901	229	1165	0	14808	0	0	0	0	19	0	20	0	0	0	30	19	39	95	0	16	0	86	0	6	495
EC-13A	90776	7764	98544	126660	41149	40243	7994	13	222	156	97	663	0	40	0	0	0	0	5	0	6	0	0	0	9	9	22	26	0	3	0	63	0	2	54
EC-13B	46416	2238	48658	59474	1280	5981	56	7801	21705	973	51	107	0	8275	0	0	0	0	3	0	5	0	0	0	12	2	4	11	0	4	0	5	0	1	140
EC-13C	44082	1930	46016	57653	4411	2700	13	11558	22765	1346	24	69	0	1051	0	0	0	0	5	0	1	0	0	0	3	2	4	11	0	5	0	1	0	0	113
EC-13D	91206	4940	96159	116710	9515	13861	802	28882	29047	3377	55	317	0	5062	0	0	0	0	6	0	8	0	0	0	6	5	8	46	0	4	0	15	0	3	187
EC-13P	7709	353	8062	8062	2113	2461	637	534	1518	49	2	9	0	380	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	1
EC-14	161138	8429	169567	218736	62930	32997	6095	56121	0	1470	202	619	0	0	0	13	0	0	20	0	0	0	100	113	24	22	0	165	0	12	99	0	56	47	33
EC-14A	40578	2142	42720	60690	16266	14965	3818	4796	0	85	139	280	0	0	0	6	0	0	10	0	0	0	38	28	3	8	0	51	0	4	37	0	22	12	10
EC-14B	58495	3251	61746	81422	14560	5027	1664	35639	0	1209	35	136	0	0	0	4	0	0	3	0	0	0	18	51	5	8	0	71	0	3	23	0	5	19	15
EC-14C	55801	2844	58645	70168	29473	11199	168	14393	0	124	20	184	0	0	0	3	0	0	7	0	0	0	44	32	16	6	0	41	0	5	35	0	28	15	8
EC-14D	133	7	140	140	61	61	2	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EC-14P	6131	185	6316	6316	2570	1745	443	1289	0	52	8	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	3	0	1	1	0
EC-15	787728	38451	826179	1073569	382768	332775	63652	0	0	0	2842	3194	0	0	0	48	0	0	80	746	249	0	148	0	60	39	0	134	0	112	200	44	412	53	172
EC-15A	61569	2855	64424	84703	28330	27465	5167	0	0	0	46	342	0	0	0	4	0	0	11	55	19	0	7	0	1	4	0	10	0	11	26	4	48	3	16
EC-15B	55397	3376	58773	77522	27615	23120	4204	0	0	0	73	208	0	0	0	2	0	0	4	42	25	0	10	0	9	4	0	9	0	12	16	2	28	3	11
EC-15C	67489	2972	70461	92750	32601	27843	6417	0	0	0	92	329	0	0	0	5	0	0	4	60	24	0	8	0	8	1	0	16	0	9	18	5	31	5	13
EC-15D	52766	3191	55957	80000	26882	20884	4292	0	0	0	262	265	0	0	0	3	0	0	9	57	11	0	17	0	4	0	0	9	0	6	12	2	28	7	16
EC-15E	44938	2720	47658	63298	20525	20009	3960	0	0	0	100	179	0	0	0	5	0	0	7	51	21	0	11	0	2	2	0	10	0	5	8	3	28	5	7
EC-15F	46549	2056	48605	62636	23125	20093	2875	0	0	0	105	227	0	0	0	4	0	0	0	28	14	0	7	0	2	1	0	8	0	9	9	4	25	3	10
EC-15G	55088	2690	57778	72990	28297	23510	2769	0	0	0	156	183	0	0	0	10	0	0	6	45	16	0	6	0	4	7	0	5	0	9	8	5	37	2	13
EC-15H	60397	2709	63106	80221	26711	27964	5140	0	0	0	229	189	0	0	0	1	0	0	7	42	14	0	10	0	5	0	0	10	0	6	13	7	32	4	13
EC-15I	60937	3482	64419	82926	30901	25266	4162	0	0	0	191	230	0	0	0	4	0	0	5	62	21	0	16	0	7	3	0	8	0	7	13	2	22	4	13
EC-15J	61996	2386	64382	80821	29321	26714	5349	0	0	0	207	211	0	0	0	1	0	0	4	65	23	0	11	0	3	2	0	13	0	10	10	4	30	2	16
EC-15K	48874	2224	51098	66099	24494	20487	3223	0	0	0	340	174	0	0	0	1	0	0	4	55	15	0	9	0	3	2	0	7	0	9	4	1	29	3	14
EC-15L	51693	2170	53863	71111	26830	19359	4656	0	0	0	520	171	0	0	0	2	0	0	6	52	11	0	9	0	1	4	0	9	0	7	23	3	16	5	9
EC-15M	51730	2467	54197	72027	26507	20365	4134	0	0	0	279	250	0	0	0	3	0	0	7	67	20	0	9	0	6	4	0	5	0	6	23	2	27	3	13
EC-15N	41271	2720	43991	58998	18703	17938	4147	0	0	0	102	203	0	0	0	3	0	0	6	58	15	0	15	0	4	5	0	12	0	6	16	0	27	4	7
EC-15P	27034	433	27467	27467	11926	11758	3157	0	0	0	140	33	0	0	0	0	0	0	0	7	0	0	3	0	1	0	0	3	0	0	1	0	4	0	1
EC-16	290209	14638	304847	431836	146873	120981	18095	0	0	0	1545	1870	0	0	0	0	0	0	53	0	0	0	230	197	55	0	0	58	0	49	0	44	109	0	50
EC-16A	53454	4017	57471	84866	34353	17163	1335	0	0	0	95	335	0	0	0	0	0	0	10	0	0	0	62	29	11	0	0	7	0	16	0	7	17	0	14
EC-16B	57753	3030	60783	87938	26507	25709	4754	0	0	0	90	507	0	0	0	0	0	0	12	0	0	0	49	30	15	0	0	16	0	11	0	6	35	0	12
EC-16C	64986	3142	68128	93040	32254	27821	3888	0	0	0	419	403	0	0	0	0	0	0	16	0	0	0	47	47	7	0	0	17	0	10	0	25	25	0	7
EC-16D	49307	1848	51155	72155	22915	22323	3345	0	0	0	363	246	0	0	0	0	0	0	4	0	0	0	23	33	12	0	0	10	0	6	0	1	18	0	8
EC-16E	59196	2471	61667	88194	28368	25738	4023	0	0	0	532	369	0	0	0	0	0	0	11	0	0	0	46	58	9	0	0	8	0	6	0	5	14	0	9
EC-16P	5513	130	5643	5643	2476	2227	750	0	0	0	46	10	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
EC-17	359344	19796	379140	506629	165055	149393	40005	0	0	0	625	3279	0	0	0	0	0	0	0	0	0	0	336	0	66	0	0	107	141	50	0	48	0	0	239
EC-17A	45536	2284	47820	65903	19763	20390	4647	0	0	0	57	543	0	0	0	0	0	0	0	0	0	0	52	0	4	0	0	12	19	7	0	17	0	0	25
EC-17B	43697	2340	46037	62393	20699	18007	4454	0	0	0	39	402	0	0	0	0	0	0	0	0	0	0	32	0	6	0	0	7	17	5	0	4	0	0	25
EC-17C	52228	2560	54788	73626	23421	20359	7739	0	0	0	202	378	0	0	0	0	0	0	0	0	0	0	32	0	17	0	0	19	15	6	0	3	0	0	37
EC-17D	53824	2994	56818	78106	27308	20766	5003	0	0	0	104	466	0	0	0	0	0	0	0	0	0	0	72	0	9	0	0	17	25	5	0	6	0	0	43
EC-17E	68267	4398	72665	97120	28282	31042	7947	0	0	0	98	686	0	0	0	0	0	0	0	0	0	0	70	0	19	0	0	16	37	14	0	5	0	0	51
EC-17F	35051	2211	37262	50126	15669	14429	4488	0	0	0	45	325	0	0	0	0	0	0	0	0	0	0	33	0	5	0	0	14	13	6	0	9	0	0	15
EC-17G	44276	2621	46897	62502	22853	17088	3754	0	0	0	43	412	0	0	0	0	0	0	0	0	0	0	42	0	3	0	0	20	12	7	0	3	0	0	39
EC-17P	16465	388	16853	16853	7060	7312	1973	0	0	0	37	67	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	2	3	0	0	1	0	0	4
