entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF	__OTHER
EC-03P	13765	227	13992	13992	9049	4533	9	98	34	42	0
EC-04	565117	14179	579296	744151	320110	235519	3748	2618	1752	1370	0
EC-04A	32625	517	33142	43462	17288	14862	201	118	95	61	0
EC-04B	82473	1809	84282	109246	48134	33007	582	303	228	219	0
EC-04C	43877	1652	45529	57482	23082	19995	349	175	167	109	0
EC-04D	35435	892	36327	42700	22944	11906	277	86	96	126	0
EC-04E	25556	625	26181	32992	14309	10742	238	92	90	85	0
EC-04F	43140	1081	44221	56925	24150	18243	285	238	122	102	0
EC-04G	37997	921	38918	50376	19303	18076	318	107	119	74	0
EC-04H	40167	912	41079	55740	22323	17152	172	335	123	62	0
EC-04I	23291	583	23874	32335	12339	10477	98	258	78	41	0
EC-04J	43399	934	44333	58455	25099	17621	226	220	103	130	0
EC-04K	42399	945	43344	56671	24199	17442	287	215	155	101	0
EC-04L	50067	1524	51591	66812	29558	19692	350	193	169	105	0
EC-04M	47007	1509	48516	62996	26785	19423	344	176	169	110	0
EC-04P	17684	275	17959	17959	10597	6881	21	102	38	45	0
EC-05	199164	5317	204481	265743	121449	73324	2111	992	608	680	0
EC-05A	62906	1458	64364	85870	37869	23746	602	273	187	229	0
EC-05B	40011	897	40908	48525	26092	13013	507	137	119	143	0
EC-05C	42170	1253	43423	58638	25234	16006	379	288	126	137	0
EC-05D	47678	1636	49314	66238	28300	18187	618	250	169	154	0
EC-05P	6399	73	6472	6472	3954	2372	5	44	7	17	0
EC-06	295630	11840	307470	393221	168929	116928	6314	1332	1083	1044	0
EC-06A	155091	7412	162503	212690	94262	53949	4897	775	590	618	0
EC-06B	42716	1651	44367	56977	22034	19708	555	137	140	142	0
EC-06C	43287	1202	44489	54001	22917	19609	350	162	153	96	0
EC-06D	48078	1480	49558	63000	26020	20955	509	226	190	178	0
EC-06P	6458	95	6553	6553	3696	2707	3	32	10	10	0
EC-07	464815	7112	471927	646373	285398	173282	1885	1584	1179	1487	0
EC-07A	29714	375	30089	43988	17307	12087	108	59	83	70	0
EC-07B	39513	514	40027	56041	25258	13735	163	140	101	116	0
EC-07C	35029	583	35612	53066	22470	11934	244	127	81	173	0
EC-07D	51600	773	52373	71765	32213	18747	224	160	124	132	0
EC-07E	58038	1059	59097	74337	34003	23216	282	157	172	208	0
EC-07F	55479	952	56431	74331	33932	20785	272	174	131	185	0
EC-07G	46563	660	47223	66221	28618	17406	164	138	81	156	0
EC-07H	41338	615	41953	62011	23587	17258	83	185	127	98	0
EC-07I	47360	672	48032	64320	29135	17679	111	190	117	128	0
EC-07J	46483	656	47139	66342	29689	16115	220	172	129	158	0
EC-07P	13698	253	13951	13951	9186	4320	14	82	33	63	0
EC-08	352239	5731	357970	511933	227865	118224	2055	1564	1134	1397	0
EC-08A	50765	1293	52058	71106	30662	18819	465	316	213	290	0
EC-08B	48246	828	49074	70889	29756	17473	407	240	163	207	0
EC-08C	51655	903	52558	74562	32632	18165	327	175	145	211	0
EC-08D	45984	655	46639	69050	31038	14133	305	213	128	167	0
EC-08E	46377	624	47001	66923	30817	14824	185	185	169	197	0
EC-08F	48872	648	49520	73461	32503	15751	152	205	138	123	0
EC-08G	51982	675	52657	77479	34583	16708	201	173	145	172	0
EC-08P	8358	105	8463	8463	5874	2351	13	57	33	30	0
EC-09	215995	4013	220008	333054	132873	77735	1414	1538	750	1685	0
EC-09A	45909	1010	46919	73236	26535	17983	419	389	194	389	0
EC-09B	43502	652	44154	66091	26335	16150	273	294	165	285	0
EC-09C	53405	789	54194	80917	33442	18680	319	332	170	462	0
EC-09D	67168	1432	68600	106669	42523	23102	390	478	197	478	0
EC-09P	6011	130	6141	6141	4038	1820	13	45	24	71	0
EC-10	17575	141	17716	596422	16934	223	341	36	16	25	0
EC-10A	15193	120	15313	49504	14761	83	291	27	14	17	0
EC-10B	584	4	588	58949	539	6	31	6	0	2	0
EC-10C	127	0	127	60417	116	6	3	1	1	0	0
EC-10D	18	0	18	58382	18	0	0	0	0	0	0
EC-10E	12	0	12	56496	11	1	0	0	0	0	0
EC-10F	26	0	26	52153	24	2	0	0	0	0	0
EC-10G	8	0	8	40336	8	0	0	0	0	0	0
EC-10H	70	3	73	51717	63	6	1	0	0	0	0
EC-10I	23	0	23	62372	21	2	0	0	0	0	0
EC-10J	1272	7	1279	50045	1143	108	15	1	1	4	0
EC-10K	186	7	193	55995	174	9	0	1	0	2	0
EC-10P	56	0	56	56	56	0	0	0	0	0	0
EC-11	39372	681	40053	179858	33585	4493	1003	96	77	118	0
EC-11A	16149	199	16348	54066	14607	981	490	24	12	35	0
EC-11B	20595	444	21039	72434	16861	3026	499	68	63	78	0
EC-11C	1478	27	1505	52197	1128	330	13	3	0	4	0
EC-11P	1150	11	1161	1161	989	156	1	1	2	1	0
EC-12	165779	2664	168443	264975	144725	14812	5030	349	381	484	0
EC-12A	47841	730	48571	73640	41821	3930	1731	99	77	183	0
EC-12B	71887	1061	72948	123893	59814	9812	1685	145	239	194	0
EC-12C	42999	848	43847	64365	40489	631	1611	102	59	107	0
EC-12P	3052	25	3077	3077	2601	439	3	3	6	0	0
EC-13	232581	3621	236202	319166	168289	59074	3677	471	496	574	0
EC-13A	80608	1751	82359	112046	44423	34832	640	236	231	246	0
EC-13B	38082	480	38562	51991	30890	6056	918	50	89	79	0
EC-13C	36510	352	36862	50248	31511	4092	701	58	70	78	0
EC-13D	70310	949	71259	97721	56780	11774	1407	114	88	147	0
EC-13P	7071	89	7160	7160	4685	2320	11	13	18	24	0
EC-14	108821	1726	110547	188017	77943	28006	2074	279	195	324	0
EC-14A	33018	640	33658	54632	20621	11726	415	85	60	111	0
EC-14B	33770	545	34315	67509	28900	3925	697	112	51	85	0
EC-14C	38152	495	38647	61949	25721	11209	946	74	82	120	0
EC-14P	3881	46	3927	3927	2701	1146	16	8	2	8	0
EC-15	680344	10511	690855	897539	403838	266740	3999	2211	1714	1842	0
EC-15A	52891	858	53749	69872	33011	19033	377	164	130	176	0
EC-15B	49067	834	49901	64434	30415	17932	294	145	117	164	0
EC-15C	57283	962	58245	76083	33582	22893	367	157	118	166	0
EC-15D	49891	919	50810	67182	28159	20880	405	178	121	148	0
EC-15E	41012	610	41622	53579	25612	14862	231	118	87	102	0
EC-15F	39200	515	39715	52667	23158	15482	234	114	103	109	0
EC-15G	47842	467	48309	61107	27377	19915	233	109	103	105	0
EC-15H	53214	651	53865	68616	33528	19095	224	152	114	101	0
EC-15I	53349	773	54122	69233	29638	22999	295	167	146	104	0
EC-15J	51806	738	52544	69064	30516	20613	244	170	151	112	0
EC-15K	41062	647	41709	55872	23447	17030	216	165	108	96	0
EC-15L	42278	682	42960	59146	24685	17005	188	158	151	91	0
EC-15M	45476	831	46307	60627	28057	16635	348	177	124	135	0
EC-15N	35350	699	36049	49109	20241	14374	322	142	100	171	0
EC-15P	20623	325	20948	20948	12412	7992	21	95	41	62	0
EC-16	264635	4689	269324	385854	165795	95211	1796	617	591	625	0
EC-16A	45428	1043	46471	73757	29040	15542	531	75	122	118	0
EC-16B	54762	1045	55807	80010	35977	17821	475	176	122	191	0
EC-16C	58421	936	59357	83057	35415	22240	382	133	121	130	0
EC-16D	44994	576	45570	64449	27856	16721	180	81	86	70	0
EC-16E	55463	994	56457	78919	33874	21004	228	134	121	102	0
EC-16P	5567	95	5662	5662	3633	1883	0	18	19	14	0
EC-17	312797	6205	319002	418857	200146	107342	2534	1014	678	1083	0
EC-17A	39938	667	40605	55792	25938	13185	401	126	106	182	0
EC-17B	39886	581	40467	51975	26000	13287	297	80	86	136	0
EC-17C	43677	943	44620	62048	27421	15490	310	220	102	134	0
EC-17D	46794	1115	47909	65367	27142	18892	365	141	113	141	0
EC-17E	61100	1304	62404	79687	42661	17331	547	191	112	258	0
EC-17F	30992	581	31573	41088	19935	10541	267	86	66	97	0
EC-17G	38704	789	39493	50969	23583	14517	324	110	75	95	0
EC-17P	11706	225	11931	11931	7466	4099	23	60	18	40	0
EC-18	150475	3966	154441	203940	88907	59287	1126	428	258	469	0
EC-18A	41504	1204	42708	57393	25779	15079	279	134	64	169	0
EC-18B	42168	965	43133	55264	23977	17588	313	112	67	111	0
EC-18C	63136	1716	64852	87535	36865	25284	527	169	118	173	0
EC-18P	3667	81	3748	3748	2286	1336	7	13	9	16	0
EC-19	330772	14093	344865	445146	182810	139611	3847	1745	1387	1372	0
EC-19A	44135	1302	45437	58235	18218	24842	446	213	213	203	0
EC-19B	27487	1002	28489	36342	15304	11227	456	145	183	172	0
EC-19C	34169	1873	36042	45788	19303	13793	556	176	167	174	0
EC-19D	28243	958	29201	40039	17416	10210	255	182	104	76	0
EC-19E	35522	1861	37383	48807	20090	14430	491	212	153	146	0
EC-19F	37077	1267	38344	47127	20307	16031	335	134	129	141	0
EC-19G	40152	1482	41634	53643	22177	17280	284	164	126	121	0
EC-19H	39733	2003	41736	56426	23648	15072	464	236	152	161	0
EC-19I	34531	2182	36713	48853	20108	13371	551	221	140	140	0
EC-19P	9723	163	9886	9886	6239	3355	9	62	20	38	0
EC-20	152869	3977	156846	203102	96620	52026	1966	877	556	824	0
EC-20A	39467	928	40395	50852	24271	13867	674	209	200	246	0
EC-20B	49108	1456	50564	64229	31950	15801	687	234	175	261	0
EC-20C	60623	1553	62176	84310	38050	21090	600	414	174	295	0
EC-20P	3671	40	3711	3711	2349	1268	5	20	7	22	0
EC-21	443031	7595	450626	563174	257265	177924	3451	1877	1235	1279	0
EC-21A	53997	705	54702	71614	32647	20589	366	166	125	104	0
EC-21B	65042	996	66038	83492	38221	25858	435	225	162	141	0
EC-21C	44903	906	45809	56593	24076	19994	405	172	138	118	0
EC-21D	57403	1277	58680	73136	32501	23943	353	257	154	195	0
EC-21E	54384	1057	55441	69702	27997	25338	453	253	189	154	0
EC-21F	55178	836	56014	66888	31980	22172	531	202	141	152	0
EC-21G	34923	469	35392	43279	19993	14434	234	93	87	82	0
EC-21H	68731	1252	69983	89903	44641	22425	666	465	222	312	0
EC-21P	8470	97	8567	8567	5209	3171	8	44	17	21	0
EC-22	377592	7139	384731	514055	211676	159707	2759	1402	1020	1028	0
EC-22A	52683	795	53478	70142	28939	22989	329	159	133	134	0
EC-22B	39669	696	40365	54044	22942	16086	307	132	98	104	0
EC-22C	38815	751	39566	54933	24126	14150	197	140	87	115	0
EC-22D	35720	761	36481	49996	21224	13899	259	144	84	110	0
EC-22E	45570	803	46373	63001	25400	19367	350	209	143	101	0
EC-22F	31532	604	32136	42338	17156	13854	224	113	78	107	0
EC-22G	40952	992	41944	57328	21930	18200	409	180	123	110	0
EC-22H	42063	602	42665	56451	23340	18038	298	137	131	119	0
EC-22I	37700	915	38615	52714	18793	18179	375	131	128	94	0
EC-22P	12888	220	13108	13108	7826	4945	11	57	15	34	0
LK	7561526	151706	7713232	11158880	4709205	2715283	58888	32651	22752	22749	0
