entity_id	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	Ind 2	Liberal	LDA	Ind 1	SLMP	PLSF	Ind 3	DUNF	PFF	__OTHER
EC-03C	69040	1417	70457	86680	37559	27700	2648	308	182	126	130	139	77	79	40	21	31	0
EC-03D	50597	991	51588	66212	25424	22879	1397	184	156	128	45	131	69	69	63	24	28	0
EC-03E	62565	1492	64057	84575	32352	25813	3221	316	183	162	75	148	74	83	71	35	32	0
EC-03F	67413	1540	68953	90723	35751	27131	3369	386	127	111	131	135	105	77	38	21	31	0
EC-03G	67321	1145	68466	87513	34369	29585	2421	148	160	114	81	150	159	70	35	14	15	0
EC-03H	60813	1226	62039	82145	30128	26506	3014	227	208	163	78	176	86	76	83	34	34	0
EC-03P	11633	504	12137	12137	6169	4403	791	172	2	4	67	4	4	4	0	11	2	0
EC-04	612811	17060	629871	811606	308187	276360	15512	3280	1775	1614	1065	1369	1706	749	639	265	290	0
EC-04A	34774	637	35411	46621	16777	16428	933	134	115	93	46	70	57	41	49	16	15	0
EC-04B	87198	2720	89918	120150	40996	41640	2782	384	244	230	110	165	359	91	114	40	43	0
EC-04C	52091	1338	53429	63055	32945	17372	928	168	134	119	55	125	122	56	35	12	20	0
EC-04D	35993	922	36915	46840	18216	16335	632	113	135	186	29	133	54	60	48	22	30	0
EC-04E	27743	720	28463	36214	14497	11955	669	107	139	88	34	109	33	50	34	14	14	0
EC-04F	48654	1415	50069	65317	23259	22974	1569	267	131	113	60	74	78	45	43	16	25	0
EC-04G	41174	1059	42233	55180	19900	19808	638	108	153	128	42	116	149	51	46	19	16	0
EC-04H	42865	1213	44078	59187	19893	20803	1173	431	83	73	133	66	114	38	29	16	13	0
EC-04I	25292	624	25916	34410	10101	13809	639	349	40	43	105	34	109	29	14	11	9	0
EC-04J	46592	1464	48056	62747	23135	21219	1293	301	125	102	103	61	105	49	54	24	21	0
EC-04K	46372	1204	47576	62497	22192	21920	1199	251	139	124	68	83	240	58	45	22	31	0
EC-04L	55893	1626	57519	73137	29986	23928	828	244	141	161	94	159	163	90	51	26	22	0
EC-04M	51622	1513	53135	69098	28277	20885	1353	184	195	149	88	165	110	86	77	22	31	0
EC-04P	16548	605	17153	17153	8013	7284	876	239	1	5	98	9	13	5	0	5	0	0
EC-05	216310	6171	222481	292055	111232	91944	7924	902	951	860	308	747	550	343	261	139	149	0
EC-05A	71768	1876	73644	97348	35811	30850	3496	233	323	270	91	214	169	132	76	46	57	0
EC-05B	42179	1112	43291	53732	24073	16091	1069	112	200	181	35	171	64	74	48	31	30	0
EC-05C	44433	1322	45755	64069	21709	20185	1392	239	168	172	94	122	170	56	59	34	33	0
EC-05D	52283	1627	53910	71025	26959	22336	1574	264	255	235	75	232	142	78	78	28	27	0
EC-05P	5647	234	5881	5881	2680	2482	393	54	5	2	13	8	5	3	0	0	2	0
EC-06	313990	8997	322987	402589	147210	152836	5879	1021	1698	1567	812	1116	531	555	413	176	176	0
EC-06A	165097	4885	169982	216038	70497	87653	1897	591	1128	1074	489	672	322	326	244	102	102	0
EC-06B	44823	1193	46016	59333	22068	20984	826	136	211	164	67	133	71	76	52	22	13	0
EC-06C	49863	1461	51324	58213	29000	18426	1572	131	158	143	51	140	68	71	54	21	28	0
EC-06D	49421	1366	50787	64127	23312	23685	1299	142	198	186	158	168	67	80	63	30	33	0
EC-06P	4786	92	4878	4878	2333	2088	285	21	3	0	47	3	3	2	0	1	0	0
EC-07	512019	9716	521735	673785	281154	195906	27257	1592	1227	907	952	968	651	663	357	175	210	0
EC-07A	32800	539	33339	45790	17524	13372	1466	101	75	53	60	54	37	29	9	12	8	0
EC-07B	44171	880	45051	58545	24642	16358	2595	141	78	55	84	62	55	47	32	9	13	0
EC-07C	41133	857	41990	56502	22445	14882	3157	115	144	51	55	103	51	65	30	19	16	0
EC-07D	56795	991	57786	75271	31626	21196	3128	169	115	119	82	125	69	76	44	22	24	0
EC-07E	65109	873	65982	78752	35712	25292	3183	95	174	152	50	135	75	110	59	24	48	0
EC-07F	60496	1145	61641	76860	34097	22969	2406	167	191	148	91	136	82	91	56	22	40	0
EC-07G	50698	749	51447	68503	28404	19134	2497	144	104	88	79	91	32	74	26	10	15	0
EC-07H	44978	1000	45978	63300	22008	20042	2207	225	64	61	112	63	119	37	18	15	7	0
EC-07I	53461	1070	54531	69229	30327	19749	2602	150	129	81	124	91	69	62	41	20	16	0
EC-07J	49704	1086	50790	67833	28137	18064	2727	161	135	97	92	94	55	67	40	15	20	0
EC-07P	12674	526	13200	13200	6232	4848	1289	124	18	2	123	14	7	5	2	7	3	0
EC-08	378638	8583	387221	524002	205685	139677	26229	1539	1042	997	670	891	639	543	332	192	202	0
EC-08A	55055	1464	56519	74409	29229	21400	3108	207	251	223	95	157	116	111	75	38	45	0
EC-08B	53161	983	54144	75156	29115	19464	3471	194	199	170	54	192	85	92	57	36	32	0
EC-08C	56680	1090	57770	76916	30040	21330	4231	195	154	182	72	145	99	100	58	34	40	0
EC-08D	50054	887	50941	70157	28515	17689	2997	201	126	147	68	106	68	50	41	22	24	0
EC-08E	49495	963	50458	68296	25363	18844	4539	155	99	107	84	100	56	62	47	24	15	0
EC-08F	51743	1790	53533	72593	28865	18743	3273	276	86	72	156	72	94	54	19	15	18	0
EC-08G	54674	1027	55701	78320	30939	19183	3674	219	123	87	67	114	116	71	35	20	26	0
EC-08P	7776	379	8155	8155	3619	3024	936	92	4	9	74	5	5	3	0	3	2	0
EC-09	253678	5375	259053	356394	120275	95088	33739	733	700	729	483	691	346	421	192	160	121	0
EC-09A	53664	1389	55053	78596	24728	21426	6298	187	227	198	125	180	68	108	47	38	34	0
EC-09B	49130	919	50049	68349	24492	18140	5691	136	118	116	81	101	69	80	40	37	29	0
EC-09C	63214	1222	64436	89147	29828	22431	9887	171	174	181	119	149	72	98	43	39	22	0
EC-09D	82255	1675	83930	114717	39021	30983	10865	202	180	229	121	249	134	130	61	45	35	0
EC-09P	5415	170	5585	5585	2206	2108	998	37	1	5	37	12	3	5	1	1	1	0
EC-10	111568	5981	117549	613718	52043	48005	413	818	1873	1368	3394	831	1041	487	552	343	403	0
EC-10A	7617	419	8036	50885	3377	3580	50	40	108	62	154	45	84	34	31	20	32	0
EC-10B	12760	767	13527	58350	6854	4232	53	139	293	228	466	127	125	71	77	49	49	0
EC-10C	8606	321	8927	61514	5324	2271	24	93	197	158	208	81	90	58	49	28	25	0
EC-10D	15691	714	16405	62002	9194	5003	57	115	311	191	386	104	126	73	55	36	40	0
EC-10E	14273	577	14850	58751	6607	5941	49	133	335	265	332	122	161	84	111	55	78	0
EC-10F	11669	737	12406	53545	4664	5685	44	72	210	138	417	118	88	53	88	41	51	0
EC-10G	8118	453	8571	42304	3062	4270	33	58	95	72	258	65	80	34	32	28	31	0
EC-10H	12098	1059	13157	53247	3430	7494	68	77	127	109	356	84	158	33	51	49	62	0
EC-10I	10778	384	11162	63799	5125	4834	18	54	113	95	328	49	47	29	41	21	24	0
EC-10J	7113	314	7427	51581	3471	3263	11	22	57	28	151	25	46	14	10	8	7	0
EC-10K	2016	117	2133	56792	593	1262	6	12	26	22	33	11	31	3	6	8	3	0
EC-10P	829	119	948	948	342	170	0	3	1	0	305	0	5	1	1	0	1	0
EC-11	62690	1490	64180	206176	16202	43803	482	93	420	456	444	234	306	83	69	40	58	0
EC-11A	24637	446	25083	65883	8446	15407	34	35	156	128	120	91	113	39	21	16	31	0
EC-11B	36282	968	37250	86970	6845	27621	427	55	257	326	293	142	178	42	45	24	27	0
EC-11C	1182	30	1212	52688	751	389	15	2	6	1	4	1	9	2	2	0	0	0
EC-11P	589	46	635	635	160	386	6	1	1	1	27	0	6	0	1	0	0	0
EC-12	170131	3747	173878	272465	58975	104100	290	250	1528	1838	884	784	750	331	234	78	89	0
EC-12A	47127	1043	48170	76988	21939	22614	70	95	623	665	183	381	288	130	86	27	26	0
EC-12B	81098	1750	82848	124480	29523	48700	159	100	550	687	406	269	394	148	89	32	41	0
EC-12C	39723	869	40592	68729	6962	31295	53	54	354	484	200	132	37	53	59	18	22	0
EC-12P	2183	85	2268	2268	551	1491	8	1	1	2	95	2	31	0	0	1	0	0
EC-13	269100	4549	273649	348712	149593	109805	3822	344	1275	1193	473	823	663	519	171	93	80	0
EC-13A	93446	1538	94984	121407	48385	39712	3275	206	497	496	93	364	94	172	79	36	37	0
EC-13B	45154	701	45855	56629	28822	15225	86	34	191	219	152	115	137	120	34	8	11	0
EC-13C	42924	707	43631	55387	23773	18390	34	18	149	136	79	112	129	65	22	7	10	0
EC-13D	82916	1360	84276	110386	46341	34407	427	76	437	339	116	231	284	162	34	40	22	0
EC-13P	4660	243	4903	4903	2272	2071	0	10	1	3	33	1	19	0	2	2	0	0
EC-14	126081	2642	128723	205116	56691	63351	2307	218	735	713	476	477	599	245	128	72	69	0
EC-14A	37808	586	38394	57634	20781	14551	1515	90	236	202	37	181	73	65	35	21	21	0
EC-14B	43754	1227	44981	77484	13807	28061	573	74	224	201	304	130	201	71	51	30	27	0
EC-14C	41324	716	42040	66690	20908	18987	120	44	274	307	34	165	298	108	41	18	20	0
EC-14P	3195	113	3308	3308	1195	1752	99	10	1	3	101	1	27	1	1	3	1	0
EC-15	743519	15272	758791	1000624	377483	326327	27354	2704	1889	1660	1011	1671	1355	872	578	314	301	0
EC-15A	58570	1068	59638	79147	31610	23395	2645	111	186	176	55	166	75	85	43	6	17	0
EC-15B	52383	1191	53574	72758	26123	23694	1789	135	125	124	53	125	75	62	35	24	19	0
EC-15C	63499	1269	64768	86938	31252	28525	2714	151	206	166	70	149	65	95	58	24	24	0
EC-15D	52129	1535	53664	74632	24366	24589	2101	240	156	165	70	136	104	70	60	44	28	0
EC-15E	44869	965	45834	59601	24187	18163	1847	133	103	80	78	106	55	47	25	21	24	0
EC-15F	43252	835	44087	58677	22991	18484	1197	103	101	99	32	74	58	53	34	15	11	0
EC-15G	52701	789	53490	68736	27022	23876	1143	129	112	85	55	96	64	53	35	13	18	0
EC-15H	58275	718	58993	75795	31996	23680	1824	184	124	93	48	116	77	57	37	21	18	0
EC-15I	58100	977	59077	77629	28350	27228	1662	180	136	113	60	106	120	50	44	23	28	0
EC-15J	57867	1082	58949	75865	30403	24457	2158	214	128	111	58	110	72	66	45	19	26	0
EC-15K	45579	908	46487	61882	22890	20537	1353	230	114	84	58	98	84	50	37	17	27	0
EC-15L	48914	1101	50015	66346	23715	22450	1700	355	100	106	112	113	147	50	27	17	22	0
EC-15M	48353	995	49348	67307	23463	21972	1838	217	158	106	71	115	250	54	51	35	23	0
EC-15N	39821	1147	40968	55412	19594	17011	2283	137	140	147	95	154	102	74	44	24	16	0
EC-15P	19207	692	19899	19899	9521	8266	1100	185	0	5	96	7	7	6	3	11	0	0
EC-16	275339	5778	281117	408331	141725	121615	7876	614	741	599	445	589	481	308	164	88	94	0
EC-16A	49432	1202	50634	80531	20842	26894	701	71	203	155	106	144	182	66	38	12	18	0
EC-16B	56416	1199	57615	83322	30542	22733	2216	131	176	195	49	154	58	87	38	22	15	0
EC-16C	61383	1309	62692	87891	31998	26708	1813	116	187	100	90	137	90	58	37	21	28	0
EC-16D	47092	846	47938	68620	26152	19079	1285	111	66	69	68	63	96	48	24	15	16	0
EC-16E	56881	1076	57957	83686	30149	24449	1583	166	108	80	100	89	48	48	27	17	17	0
EC-16P	4135	146	4281	4281	2042	1752	278	19	1	0	32	2	7	1	0	1	0	0
EC-17	349201	6949	356150	470907	189073	139180	14612	902	1176	1065	394	963	670	600	271	166	129	0
EC-17A	44323	745	45068	62120	24878	16742	1875	98	180	142	30	138	67	92	41	15	25	0
EC-17B	43087	690	43777	58774	23075	17732	1579	69	170	137	29	94	76	65	25	21	15	0
EC-17C	49134	1015	50149	69006	25187	20153	2996	174	127	103	77	105	98	63	25	19	7	0
EC-17D	52420	991	53411	73549	25850	23492	2015	150	177	166	33	157	166	129	44	21	20	0
EC-17E	69765	1503	71268	90631	42154	23388	2845	187	248	227	119	242	89	138	63	36	29	0
EC-17F	34693	743	35436	46770	18131	14393	1508	77	131	136	31	102	72	43	32	21	16	0
EC-17G	44704	964	45668	58684	23631	19151	1144	87	141	146	44	121	97	64	36	26	16	0
EC-17P	11075	298	11373	11373	6167	4129	650	60	2	8	31	4	5	6	5	7	1	0
EC-18	172007	3151	175158	224239	88663	72598	8020	381	541	542	165	392	240	247	116	65	37	0
EC-18A	46376	859	47235	61803	24141	18627	2849	119	149	140	51	107	60	66	28	26	13	0
EC-18B	46129	736	46865	60171	23395	20345	1709	95	135	132	33	94	55	86	32	10	8	0
EC-18C	76249	1473	77722	98929	39372	32472	3165	146	257	269	65	189	125	92	55	26	16	0
EC-18P	3253	83	3336	3336	1755	1154	297	21	0	1	16	2	0	3	1	3	0	0
EC-19	360421	10979	371400	474610	167000	172884	12025	1177	1499	1652	589	1234	915	554	495	203	194	0
EC-19A	50418	1308	51726	65925	19750	27638	1757	133	260	400	46	199	54	62	69	24	26	0
EC-19B	28369	958	29327	38978	13336	13003	957	116	218	230	49	193	68	56	82	32	29	0
EC-19C	36371	1222	37593	48066	16558	18124	748	95	189	205	64	155	61	67	54	28	23	0
EC-19D	31098	882	31980	42591	16039	13310	1125	115	71	88	72	92	105	37	20	15	9	0
EC-19E	38913	1433	40346	51998	18253	18382	1384	163	142	154	39	131	85	77	57	21	25	0
EC-19F	39450	960	40410	49560	18433	18969	1401	72	134	117	61	88	54	55	35	15	16	0
EC-19G	43156	1203	44359	56170	20063	20447	1665	128	156	126	33	99	291	69	47	15	17	0
EC-19H	46140	1526	47666	62074	23002	20768	1339	178	164	150	87	151	98	74	74	26	29	0
EC-19I	36396	1210	37606	48861	16622	18053	826	103	164	180	86	121	92	52	57	23	17	0
EC-19P	10110	277	10387	10387	4944	4190	823	74	1	2	52	5	7	5	0	4	3	0
EC-20	180245	4161	184406	235252	92049	73695	10456	481	816	860	288	678	215	336	145	126	100	0
EC-20A	44574	1028	45602	58803	21890	19156	2337	130	247	294	78	204	57	85	43	26	27	0
EC-20B	54835	1489	56324	73336	30055	21049	2465	155	264	256	62	226	58	101	53	57	34	0
EC-20C	76301	1503	77804	98437	37950	31534	5279	176	305	307	126	248	99	148	49	41	39	0
EC-20P	4535	141	4676	4676	2154	1956	375	20	0	3	22	0	1	2	0	2	0	0
EC-21	480364	9038	489402	602172	250409	202621	16482	1392	1811	1687	2007	1475	757	727	490	247	259	0
EC-21A	58429	1236	59665	76327	31228	23868	1502	136	180	155	949	121	115	62	60	26	27	0
EC-21B	71215	1267	72482	89518	38665	29298	1914	230	245	176	202	156	115	106	45	32	31	0
EC-21C	48530	941	49471	58977	24995	21293	1195	172	159	191	112	170	76	76	44	20	27	0
EC-21D	62628	1232	63860	78239	31231	28184	1810	217	238	244	152	189	100	108	68	43	44	0
EC-21E	59209	1055	60264	75436	28305	28059	1552	165	257	253	97	188	101	105	71	24	32	0
EC-21F	59153	941	60094	70432	32193	24516	1186	145	251	202	123	206	100	83	84	31	33	0
EC-21G	38406	544	38950	46426	21261	15428	963	84	137	131	93	135	48	49	43	15	19	0
EC-21H	76559	1676	78235	100436	39343	29473	5942	195	344	331	220	305	101	133	75	52	45	0
EC-21P	6235	146	6381	6381	3188	2502	418	48	0	4	59	5	1	5	0	4	1	0
EC-22	409680	8136	417816	546038	210185	176376	14997	1730	1262	1209	703	1134	814	481	416	169	204	0
EC-22A	56533	1065	57598	74291	28307	25324	2005	189	125	122	51	129	110	61	66	23	21	0
EC-22B	41781	750	42531	57224	21032	18227	1670	206	134	127	67	106	70	51	47	20	24	0
EC-22C	43240	924	44164	59084	23670	16407	2314	259	105	104	85	121	61	39	32	22	21	0
EC-22D	41065	809	41874	54323	22909	15635	1740	204	112	97	65	118	52	56	39	16	22	0
EC-22E	51040	943	51983	69783	24279	23730	1938	232	150	138	72	115	245	52	47	19	23	0
EC-22F	34357	749	35106	46078	18314	14224	1232	117	99	101	34	78	63	44	28	10	13	0
EC-22G	44393	998	45391	59922	22655	19765	902	162	195	184	97	173	78	68	66	12	36	0
EC-22H	45529	725	46254	59827	23868	19546	1337	109	135	129	101	108	60	49	45	26	16	0
EC-22I	41056	801	41857	54448	19771	19062	1202	146	201	205	75	179	66	57	45	20	27	0
EC-22P	10686	372	11058	11058	5380	4456	657	106	6	2	56	7	9	4	1	1	1	0
LK	8435754	199536	8635290	11965536	4312157	3602748	343927	35854	27052	25085	23668	21119	17359	11333	7184	4042	3983	0
