entity_id	valid	rejected	polled	electors	NDF	UPFA	PNF	ONF	UPF	SLLP	ULPP	I-AMI	FSP	USP	NSH	SEP	I-AP	NSSP	AACAAKO	JSP	DNM	ULGC	SLNF	__OTHER
EC-02A	95311	1332	96643	120471	56541	38001	82	69	84	108	57	59	60	65	25	21	32	23	17	26	20	7	14	0
EC-02B	79482	871	80353	106213	53331	25432	64	62	83	110	62	65	50	48	42	17	22	17	19	16	22	7	13	0
EC-02C	113635	1505	115140	143885	58507	54355	119	77	64	84	57	84	47	48	35	22	30	12	19	35	19	14	7	0
EC-02D	86583	701	87284	108529	40112	45813	95	75	64	67	45	83	57	30	26	19	11	11	20	23	14	10	8	0
EC-02E	97147	880	98027	124679	45202	51244	104	81	53	69	48	82	51	55	28	18	14	17	17	27	20	6	11	0
EC-02F	107270	986	108256	132981	51581	54929	125	73	66	61	53	88	55	54	39	25	21	21	21	30	11	7	10	0
EC-02G	105931	1024	106955	133023	50380	54777	86	100	91	57	48	98	50	44	35	26	17	22	19	40	16	16	9	0
EC-02H	118564	1222	119786	147280	53922	63962	102	61	54	57	40	70	85	44	28	23	21	7	13	42	13	6	14	0
EC-02I	112797	1584	114381	143843	58669	53481	89	73	53	62	49	70	52	41	27	24	24	4	14	28	10	11	16	0
EC-02J	120381	1154	121535	149453	55334	64314	94	112	61	51	63	68	87	33	32	30	20	8	17	25	12	9	11	0
EC-02K	93871	878	94749	115356	38491	54714	109	104	62	38	51	72	52	26	36	19	14	11	11	32	16	7	6	0
EC-02L	99433	997	100430	121702	48667	50173	89	62	56	56	46	49	75	27	22	13	18	8	13	34	4	13	8	0
EC-02M	71260	859	72119	90122	37884	32856	79	63	63	46	45	35	34	35	19	19	8	6	14	30	9	5	10	0
EC-02P	40831	654	41485	42726	20386	20296	12	21	5	6	4	7	25	16	5	5	5	2	2	21	6	4	3	0
EC-03	751984	8381	760365	926346	349404	395890	979	808	559	605	560	547	695	416	332	210	171	130	178	206	121	93	80	0
EC-03A	93355	1152	94507	114828	46820	45908	84	57	79	54	37	59	71	31	33	20	10	14	20	34	12	7	5	0
EC-03B	110628	999	111627	133887	48469	61199	154	118	73	68	75	94	89	73	45	31	22	21	24	36	15	10	12	0
EC-03C	100517	952	101469	122511	42065	57633	120	107	71	62	52	77	76	64	48	22	22	13	19	25	11	13	17	0
EC-03D	66431	716	67147	82123	28341	37311	123	95	42	79	78	64	74	49	39	29	24	17	19	11	17	8	11	0
EC-03E	85597	1063	86660	108996	38668	45984	148	114	76	94	94	59	96	57	49	30	27	26	20	20	15	12	8	0
EC-03F	94342	905	95247	117931	44804	48851	92	82	55	60	58	48	92	43	27	25	23	6	20	24	12	12	8	0
EC-03G	93540	951	94491	117033	53280	39424	96	88	79	113	75	73	93	37	38	27	23	15	28	20	13	14	4	0
EC-03H	79674	1002	80676	100040	33995	44750	154	142	79	67	87	67	79	55	53	19	18	18	25	21	20	14	11	0
EC-03P	27900	641	28541	28997	12962	14830	8	5	5	8	4	6	25	7	0	7	2	0	3	15	6	3	4	0
EC-04	855908	10993	866901	1087542	466994	378585	1306	1204	1103	1028	1003	799	723	628	554	318	328	285	312	277	182	163	116	0
EC-04A	41815	390	42205	54214	19818	21466	79	72	44	46	42	47	26	39	30	16	22	19	15	10	11	5	8	0
EC-04B	123998	1356	125354	157463	71533	51156	153	149	117	148	119	108	121	82	77	35	37	31	46	37	19	20	10	0
EC-04C	65480	1023	66503	85375	37840	26762	101	88	90	85	90	64	65	57	52	23	37	19	30	27	20	22	8	0
EC-04D	46917	479	47396	58637	18472	27722	112	129	80	58	66	66	25	44	36	13	14	22	11	10	12	10	15	0
EC-04E	37377	517	37894	47685	18624	18150	80	56	65	68	49	63	37	31	30	29	18	17	15	11	11	9	14	0
EC-04F	74890	794	75684	94870	41238	32930	90	85	65	75	73	49	59	32	41	23	24	23	20	20	20	13	10	0
EC-04G	53079	673	53752	69243	28049	24167	106	111	112	91	95	56	44	46	48	17	30	30	33	17	14	11	2	0
EC-04H	62735	834	63569	81149	36127	26062	49	61	57	45	49	48	53	31	31	25	18	12	31	17	10	5	4	0
EC-04I	30715	401	31116	40020	20316	10200	26	10	19	19	23	24	18	15	8	7	2	6	5	7	5	2	3	0
EC-04J	63089	748	63837	80420	32298	30194	88	78	74	45	58	42	47	28	35	15	16	18	11	21	9	3	9	0
EC-04K	64754	763	65517	82298	38018	25984	87	76	87	82	61	59	61	48	37	25	26	20	29	19	13	13	9	0
EC-04L	79785	1020	80805	102219	45328	33293	151	130	161	132	131	68	65	61	50	43	39	29	37	22	14	20	11	0
EC-04M	74162	1393	75555	95567	40233	32619	173	146	128	127	144	95	70	105	74	42	42	37	25	44	22	26	10	0
EC-04P	37112	602	37714	38382	19100	17880	11	13	4	7	3	10	32	9	5	5	3	2	4	15	2	4	3	0
EC-05	309022	3653	312675	397005	145928	158880	649	500	392	394	380	306	251	285	241	97	152	135	119	88	87	81	57	0
EC-05A	101472	1074	102546	131831	42652	57657	205	158	104	92	74	90	79	66	75	27	36	24	36	30	25	27	15	0
EC-05B	56178	581	56759	70323	21511	33821	175	136	59	73	72	52	39	42	50	11	30	33	22	12	13	17	10	0
EC-05C	63637	773	64410	84225	36052	26684	123	65	91	101	96	77	54	72	44	28	40	36	25	15	11	9	14	0
EC-05D	70812	1079	71891	93296	37319	32235	141	137	134	125	134	86	72	102	71	31	45	40	36	28	34	25	17	0
EC-05P	16923	146	17069	17330	8394	8483	5	4	4	3	4	1	7	3	1	0	1	2	0	3	4	3	1	0
EC-06	426766	7329	434095	547766	272605	145339	889	846	1054	1191	1068	462	433	729	434	291	349	242	271	202	152	99	110	0
EC-06A	234996	3939	238935	302836	171578	57718	493	479	705	831	730	246	285	469	282	195	250	156	199	141	112	56	71	0
EC-06B	61099	1018	62117	78068	36343	23821	97	92	93	133	115	62	44	87	42	27	38	19	27	19	16	10	14	0
EC-06C	53956	1064	55020	71053	25645	27389	122	113	97	97	85	79	39	86	51	21	23	35	18	17	12	14	13	0
EC-06D	63924	1052	64976	82193	32340	30354	171	161	155	128	136	72	64	84	56	44	38	32	26	21	12	18	12	0
EC-06P	12791	256	13047	13616	6699	6057	6	1	4	2	2	3	1	3	3	4	0	0	1	4	0	1	0	0
EC-07	677811	6516	684327	850549	293994	377126	995	755	597	498	462	612	835	392	278	190	193	185	169	199	143	98	90	0
EC-07A	39831	388	40219	52852	16196	23283	60	32	38	27	20	39	25	18	20	18	13	4	10	14	4	3	7	0
EC-07B	59604	635	60239	75524	26187	32871	78	51	55	41	30	46	78	28	32	17	20	11	14	15	14	7	9	0
EC-07C	55410	541	55951	72572	19752	34983	109	88	55	44	38	53	129	31	20	17	17	21	11	20	14	6	2	0
EC-07D	71110	574	71684	89500	28287	42015	108	123	82	38	41	79	119	48	28	17	18	27	19	20	20	10	11	0
EC-07E	82428	790	83218	100757	34022	47464	171	106	87	83	63	78	78	68	35	26	26	28	25	22	17	14	15	0
EC-07F	76667	941	77608	95641	32347	43369	133	141	68	56	81	108	95	58	37	20	33	31	23	21	17	17	12	0
EC-07G	59783	480	60263	78182	23038	36209	77	57	46	50	34	49	55	44	18	18	16	21	15	4	16	8	8	0
EC-07H	63190	447	63637	79685	39547	23184	48	24	41	57	53	41	46	22	17	22	14	14	14	24	9	5	8	0
EC-07I	75054	738	75792	94175	34807	39604	105	57	66	47	56	44	74	34	33	17	17	16	19	27	16	8	7	0
EC-07J	64603	572	65175	80778	25932	38028	92	64	52	48	43	72	96	31	32	16	15	12	17	15	11	18	9	0
EC-07P	30131	410	30541	30883	13879	16116	14	12	7	7	3	3	40	10	6	2	4	0	2	17	5	2	2	0
EC-08	515150	4891	520041	648213	212435	297823	804	662	356	448	373	384	352	294	231	133	138	140	129	166	107	93	82	0
EC-08A	77138	990	78128	97610	31716	44273	182	145	95	102	84	95	90	70	59	32	28	51	33	23	28	17	15	0
EC-08B	72695	748	73443	91791	25164	46635	144	145	56	80	67	66	70	63	41	23	26	28	19	27	17	14	10	0
EC-08C	74285	575	74860	93769	30647	42860	138	116	58	66	72	71	37	45	40	23	23	14	15	22	16	14	8	0
EC-08D	63560	639	64199	81524	22939	40084	103	72	38	45	36	39	38	35	26	10	14	14	10	16	10	13	18	0
EC-08E	60339	473	60812	78690	24092	35795	79	68	29	45	32	35	30	21	21	19	9	12	17	9	8	2	16	0
EC-08F	69836	652	70488	86984	35248	34191	52	34	24	50	34	25	30	21	20	10	16	6	16	31	15	8	5	0
EC-08G	73545	534	74079	93450	32247	40715	99	71	52	56	45	46	35	33	20	12	19	15	18	26	11	18	7	0
EC-08P	23752	280	24032	24395	10382	13270	7	11	4	4	3	7	22	6	4	4	3	0	1	12	2	7	3	0
EC-09	386076	3351	389427	479433	138708	243295	734	565	376	307	301	322	267	242	253	85	102	105	97	116	83	61	57	0
EC-09A	80837	658	81495	100711	27601	52202	205	155	78	75	65	63	68	64	81	16	24	30	31	25	20	20	14	0
EC-09B	62083	553	62636	78234	21912	39513	107	93	65	44	57	64	28	39	30	15	12	25	14	26	20	10	9	0
EC-09C	96248	851	97099	120148	32598	62739	162	136	85	60	60	63	76	53	67	16	29	21	17	31	15	11	9	0
EC-09D	130935	1102	132037	163818	50977	78546	250	176	147	128	116	129	82	79	73	36	36	28	35	27	28	18	24	0
EC-09P	15973	187	16160	16522	5620	10295	10	5	1	0	3	3	13	7	2	2	1	1	0	7	0	2	1	0
EC-10	340751	10038	350789	546265	253574	74454	978	1150	1620	1398	942	978	610	975	677	615	508	623	568	329	360	214	178	0
EC-10A	14678	495	15173	22057	8144	5959	51	55	67	70	33	38	26	34	30	63	18	22	11	19	16	14	8	0
EC-10B	29997	1043	31040	47621	20873	7791	78	108	163	133	102	107	78	122	67	90	55	50	66	39	30	23	22	0
EC-10C	25616	822	26438	63217	18729	5705	87	102	169	125	77	94	51	105	61	40	59	38	58	42	40	19	15	0
EC-10D	35627	960	36587	54567	26958	7225	96	123	155	178	103	137	69	128	71	60	63	69	69	43	44	20	16	0
EC-10E	35074	1138	36212	55891	27161	6211	105	180	213	193	156	114	89	118	88	77	56	73	93	41	51	22	33	0
EC-10F	23052	574	23626	39204	18137	3937	79	93	125	108	65	82	43	50	59	53	44	47	45	24	30	17	14	0
EC-10G	22320	576	22896	36138	17388	4213	59	65	96	87	59	49	38	47	44	18	36	41	28	11	22	12	7	0
EC-10H	30456	953	31409	51702	23520	5599	127	123	215	142	81	97	69	96	76	51	51	56	62	29	29	19	14	0
EC-10I	31212	660	31872	46699	24929	5405	55	52	112	110	67	74	40	79	34	35	44	50	44	22	34	15	11	0
EC-10J	23096	423	23519	33050	17994	4502	52	41	71	81	40	41	31	66	33	24	14	27	33	11	15	12	8	0
EC-10K	53886	1940	55826	79093	38856	13300	180	184	215	161	149	123	66	115	106	92	63	77	56	41	39	37	26	0
EC-10P	15737	454	16191	17026	10885	4607	9	24	19	10	10	22	10	15	8	12	5	73	3	7	10	4	4	0
EC-11	180225	3416	183641	261422	141417	34377	358	400	563	574	453	356	191	300	235	216	114	218	133	72	113	67	68	0
EC-11A	53500	895	54395	79433	45543	6824	68	74	160	159	136	78	44	100	61	57	32	46	32	23	29	15	19	0
EC-11B	74080	1371	75451	109705	55683	16678	148	143	212	213	164	146	74	128	91	78	53	91	57	30	45	20	26	0
EC-11C	44889	1052	45941	63920	35441	7935	135	176	185	195	151	124	68	67	81	78	29	69	44	19	37	32	23	0
EC-11P	7756	98	7854	8364	4750	2940	7	7	6	7	2	8	5	5	2	3	0	12	0	0	2	0	0	0
EC-12	256586	2580	259166	373982	209422	41631	522	441	698	882	641	323	306	258	370	180	187	238	157	89	108	59	74	0
EC-12A	72075	747	72822	105056	60342	10337	135	114	154	259	208	64	63	59	84	38	47	55	37	15	25	19	20	0
EC-12B	121637	1106	122743	172499	97779	21473	226	165	276	351	269	153	156	116	168	87	86	104	81	42	51	22	32	0
EC-12C	54412	627	55039	87612	44485	8216	160	160	262	266	163	98	83	81	118	55	54	71	38	31	31	18	22	0
EC-12P	8462	100	8562	8815	6816	1605	1	2	6	6	1	8	4	2	0	0	0	8	1	1	1	0	0	0
EC-13	357817	2625	360442	488067	233360	121027	446	307	356	543	438	187	234	197	169	69	117	92	88	57	55	39	36	0
EC-13A	125064	911	125975	161999	47658	76409	238	166	55	81	77	30	104	46	50	19	23	28	21	21	10	13	15	0
EC-13B	55333	412	55745	80357	46827	7797	55	42	92	124	121	38	35	48	33	14	26	19	20	14	13	8	7	0
EC-13C	50561	342	50903	71254	45411	4683	26	22	61	94	68	24	26	31	31	11	14	12	14	9	12	7	5	0
EC-13D	105148	802	105950	152147	81547	22425	113	74	140	235	165	86	63	65	53	24	52	29	31	11	19	9	7	0
EC-13P	21711	158	21869	22310	11917	9713	14	3	8	9	7	9	6	7	2	1	2	4	2	2	1	2	2	0
EC-14	195356	1805	197161	271953	140338	52111	263	237	327	387	341	169	270	214	164	88	99	89	89	52	44	38	36	0
EC-14A	52261	442	52703	74070	24833	26716	102	75	60	70	63	35	118	44	44	18	13	14	18	5	9	10	14	0
EC-14B	62759	816	63575	86978	49650	12056	74	77	113	140	114	77	60	97	55	34	53	38	42	26	21	18	14	0
EC-14C	65719	461	66180	95804	57532	7132	76	79	142	174	160	46	71	70	62	36	31	31	26	20	14	10	7	0
EC-14P	14617	86	14703	15101	8323	6207	11	6	12	3	4	11	21	3	3	0	2	6	3	1	0	0	1	0
EC-15	1041624	9285	1050909	1333377	476602	556868	1374	1138	839	724	637	682	465	457	441	196	216	181	173	228	177	124	102	0
EC-15A	78530	602	79132	103488	31027	46848	139	109	53	63	50	44	24	35	45	10	14	25	11	10	8	8	7	0
EC-15B	72143	658	72801	94910	31444	40015	138	121	73	67	57	62	20	32	34	10	9	8	12	7	16	13	5	0
EC-15C	86090	654	86744	113858	36058	49289	125	126	71	73	65	54	30	38	49	17	18	16	12	11	16	13	9	0
EC-15D	73148	847	73995	97886	33944	38538	112	94	70	70	60	48	24	35	35	27	14	15	16	18	12	9	7	0
EC-15E	59564	448	60012	76817	24562	34499	88	73	47	31	28	52	33	25	31	8	15	16	12	15	13	7	9	0
EC-15F	57776	403	58179	74100	25172	32197	68	60	47	35	35	31	21	23	21	10	10	10	10	4	12	5	5	0
EC-15G	69222	517	69739	88306	31166	37574	83	58	36	47	42	41	30	28	29	14	12	13	6	14	12	8	9	0
EC-15H	76163	768	76931	94505	33655	41990	87	53	69	49	36	48	41	25	24	15	9	13	14	12	8	4	11	0
EC-15I	77294	568	77862	100474	37528	39115	91	82	89	45	47	70	59	37	34	15	20	6	13	13	18	9	3	0
EC-15J	74891	621	75512	94560	32964	41422	106	72	39	40	35	46	29	30	29	6	17	13	8	11	13	8	3	0
EC-15K	59919	435	60354	77321	28365	31108	69	55	55	38	29	39	22	25	20	16	15	7	16	19	8	3	10	0
EC-15L	69815	583	70398	89332	37895	31429	72	49	51	48	47	32	32	37	23	9	21	10	5	25	10	12	8	0
EC-15M	69481	834	70315	90682	35591	33243	92	82	62	64	51	50	40	40	34	20	20	17	20	19	16	13	7	0
EC-15N	52409	512	52921	70204	23847	28010	79	85	63	46	45	47	33	34	26	11	17	10	13	20	10	6	7	0
EC-15P	65179	835	66014	66934	33384	31591	25	19	14	8	10	18	27	13	7	8	5	2	5	30	5	6	2	0
EC-16	403850	4300	408150	562984	202073	197751	579	491	437	406	339	380	306	270	148	117	94	85	107	69	81	74	43	0
EC-16A	84277	1151	85428	125702	58844	24235	107	123	161	156	131	125	50	98	43	32	31	29	43	17	20	22	10	0
EC-16B	84093	778	84871	112978	31026	52225	168	149	88	62	67	63	59	40	31	18	16	23	13	9	16	13	7	0
EC-16C	86985	985	87970	118171	42187	43928	146	91	84	91	65	84	68	64	28	31	16	14	27	19	16	14	12	0
EC-16D	63539	558	64097	89975	29934	33119	76	50	50	52	33	52	40	30	23	20	12	7	9	11	8	4	9	0
EC-16E	75339	722	76061	106183	35218	39523	82	75	54	42	43	50	82	37	22	15	18	11	14	9	20	19	5	0
EC-16P	9617	106	9723	9975	4864	4721	0	3	0	3	0	6	7	1	1	1	1	1	1	4	1	2	0	0
EC-17	524633	4500	529133	680877	238407	281161	901	685	548	469	464	372	324	288	245	104	129	113	86	98	76	105	58	0
EC-17A	60620	426	61046	81996	24261	35772	121	99	71	49	47	36	22	28	28	10	18	12	11	8	8	14	5	0
EC-17B	60201	468	60669	81099	27662	31847	109	97	72	82	67	46	36	63	32	9	15	14	10	9	9	14	8	0
EC-17C	75347	651	75998	97576	35779	38947	110	76	61	53	46	46	61	32	36	19	14	12	11	16	8	9	11	0
EC-17D	76957	720	77677	102691	33791	42349	148	103	92	82	79	72	34	42	39	13	20	23	20	16	12	16	6	0
EC-17E	96580	771	97351	125162	41612	54008	172	130	88	89	112	59	75	47	47	26	22	16	14	18	14	18	13	0
EC-17F	49390	406	49796	64778	22860	26032	88	78	54	41	45	26	36	24	31	12	17	10	4	5	10	10	7	0
EC-17G	62666	559	63225	83431	29410	32563	122	78	87	60	62	56	42	46	22	13	21	21	14	13	13	19	4	0
EC-17P	42872	499	43371	44144	23032	19643	31	24	23	13	6	31	18	6	10	2	2	5	2	13	2	5	4	0
EC-18	255996	1790	257786	321338	147974	105640	370	292	166	257	298	107	336	129	103	43	59	36	53	44	40	27	22	0
EC-18A	65198	491	65689	83395	32744	31747	137	91	38	61	58	37	120	35	28	14	12	10	23	14	10	11	8	0
EC-18B	61007	307	61314	77505	32875	27623	73	73	36	60	73	28	60	32	14	8	10	5	9	14	10	3	1	0
EC-18C	115935	850	116785	146225	72875	41961	149	123	82	130	165	35	145	56	58	20	35	21	19	15	20	13	13	0
EC-18P	13856	142	13998	14213	9480	4309	11	5	10	6	2	7	11	6	3	1	2	0	2	1	0	0	0	0
EC-19	507070	7871	514941	647628	249524	249243	1052	1052	1038	748	723	670	502	563	383	244	261	265	249	170	153	124	106	0
EC-19A	75351	930	76281	95715	31495	42718	191	213	151	71	90	91	38	71	60	18	23	33	23	9	27	15	14	0
EC-19B	39379	822	40201	51295	15128	23518	110	112	82	61	51	53	38	36	41	14	17	31	21	14	14	31	7	0
EC-19C	46996	900	47896	62901	25598	20202	132	128	186	125	122	96	69	75	50	37	33	48	36	19	23	9	8	0
EC-19D	43234	630	43864	55185	22659	20062	68	51	61	47	45	41	47	43	17	16	15	13	22	11	6	5	5	0
EC-19E	54322	1040	55362	69909	27797	25420	149	126	118	111	92	85	49	71	53	30	50	37	35	34	33	9	23	0
EC-19F	48966	621	49587	62689	22894	25337	101	91	71	81	70	45	56	58	29	20	20	18	23	19	10	12	11	0
EC-19G	58075	664	58739	74436	29431	27874	93	91	115	56	57	71	56	55	30	29	23	27	20	18	7	12	10	0
EC-19H	64981	966	65947	83147	32766	31272	105	122	106	69	92	95	63	66	54	33	34	21	29	22	13	7	12	0
EC-19I	49507	874	50381	65209	28725	19725	97	107	141	123	101	80	62	79	41	44	46	33	36	18	17	22	10	0
EC-19P	26259	424	26683	27142	13031	13115	6	11	7	4	3	13	24	9	8	3	0	4	4	6	3	2	6	0
EC-20	281116	3449	284565	356146	105276	172745	567	508	275	223	237	214	240	210	158	43	77	90	65	66	51	43	28	0
EC-20A	62565	775	63340	83003	23704	37987	140	138	87	61	81	62	72	61	46	14	19	28	16	17	14	11	7	0
EC-20B	81716	1113	82829	107678	30381	50408	179	150	93	78	54	62	41	68	46	17	33	22	18	24	16	14	12	0
EC-20C	120988	1349	122337	149116	43678	76069	241	210	89	80	98	88	120	77	65	12	25	38	29	24	21	15	9	0
EC-20P	15847	212	16059	16349	7513	8281	7	10	6	4	4	2	7	4	1	0	0	2	2	1	0	3	0	0
EC-21	680084	7656	687740	831712	292514	379053	1379	1217	696	787	750	588	516	545	492	230	245	253	206	198	165	120	130	0
EC-21A	78443	638	79081	96170	32106	45606	140	92	58	65	58	42	50	52	44	22	16	26	19	18	17	4	8	0
EC-21B	99552	1074	100626	121108	43608	54989	169	134	71	87	90	85	46	52	53	21	27	19	21	31	21	14	14	0
EC-21C	69062	834	69896	83934	33095	34975	137	118	91	99	109	67	42	64	51	38	28	33	26	28	23	21	17	0
EC-21D	86474	1009	87483	106575	40501	44798	168	151	102	112	114	82	79	69	59	36	43	40	32	28	23	14	23	0
EC-21E	82589	1023	83612	102618	38366	42940	209	183	113	136	115	93	62	86	74	29	31	35	27	25	27	18	20	0
EC-21F	79772	956	80728	96156	32188	46275	202	179	110	126	107	96	58	99	83	37	37	43	43	24	26	19	20	0
EC-21G	52580	511	53091	62773	19508	32336	138	127	45	54	55	48	51	44	43	21	31	22	15	14	10	9	9	0
EC-21H	110636	1285	111921	140748	44089	65270	207	223	104	105	102	73	115	73	84	26	30	35	22	23	17	21	17	0
EC-21P	20976	326	21302	21630	9053	11864	9	10	2	3	0	2	13	6	1	0	2	0	1	7	1	0	2	0
EC-22	536771	6515	543286	680414	252533	278130	837	719	542	603	572	528	590	357	247	181	190	137	167	136	122	93	87	0
EC-22A	69672	715	70387	87800	32163	36838	108	76	72	60	66	62	51	35	18	16	21	13	21	17	12	16	7	0
EC-22B	51911	855	52766	67375	22699	28608	80	59	58	56	46	66	76	33	28	15	20	10	13	9	13	13	9	0
EC-22C	54827	630	55457	71183	23853	30452	66	76	43	39	29	51	71	29	20	17	17	11	12	17	9	10	5	0
EC-22D	50628	457	51085	65337	22690	27400	80	75	37	48	53	49	46	38	21	8	18	9	16	12	9	8	11	0
EC-22E	69389	778	70167	90627	40066	28561	79	77	87	85	75	77	71	41	22	18	28	16	30	23	20	4	9	0
EC-22F	40641	417	41058	53207	19297	20742	91	77	56	54	51	59	57	31	30	13	18	19	10	9	16	6	5	0
EC-22G	58703	809	59512	74244	26970	30890	116	103	66	107	104	39	52	55	36	43	21	24	15	18	12	15	17	0
EC-22H	58581	577	59158	73498	26984	30922	98	76	65	64	60	68	71	37	24	17	15	18	22	9	15	10	6	0
EC-22I	53172	717	53889	66607	23648	28741	104	93	54	86	85	46	66	49	43	30	30	17	25	17	15	9	14	0
EC-22P	29247	560	29807	30536	14163	14976	15	7	4	4	3	11	29	9	5	4	2	0	3	5	1	2	4	0
LK	12123452	140925	12264377	15585942	6217162	5768090	18174	15726	14379	14351	12436	10618	9941	8840	6875	4277	4260	4047	3846	3750	2793	2061	1826	0
