entity_id	valid	rejected	polled	electors	UPFA	UNP	ITAK	JHU	SLMC	UPF	EPDP	JSP	USP	CDUA	NLF	DPLF	IP1D	UMPA	ULF	IP7D	NPP	SMBP	IP9D	IP6D	S	__OTHER
EC-01N	102937	2831	105773	137285	45939	26302	0	29850	0	0	41	215	40	0	121	0	5	29	27	3	244	31	3	1	30	46
EC-01O	87369	3139	90515	116454	38833	34313	0	13493	0	0	38	168	73	0	161	0	5	33	49	3	102	9	3	6	11	62
EC-01P	16452	305	16757	16757	8482	4641	0	3260	0	0	4	15	1	0	30	0	0	2	1	0	1	5	0	0	3	7
EC-02	989742	41462	1031464	1348497	509963	367572	0	102516	0	0	0	4622	2852	0	932	0	65	0	0	66	0	203	149	34	129	639
EC-02A	67821	2761	70598	91912	28344	34041	0	4525	0	0	0	478	233	0	102	0	5	0	0	6	0	4	16	6	7	54
EC-02B	60711	2842	63567	88773	24357	33709	0	1759	0	0	0	387	277	0	148	0	11	0	0	7	0	4	8	4	4	36
EC-02C	81167	3268	84453	110706	41823	31919	0	6254	0	0	0	637	282	0	98	0	7	0	0	11	0	62	10	2	10	52
EC-02D	66821	2884	69731	90352	34257	26267	0	5666	0	0	0	278	234	0	40	0	3	0	0	5	0	17	15	1	5	33
EC-02E	74739	3677	78436	104122	39853	27523	0	6775	0	0	0	193	265	0	46	0	1	0	0	4	0	10	20	4	6	39
EC-02F	79683	3169	82878	107679	41026	28632	0	9292	0	0	0	339	248	0	63	0	9	0	0	4	0	15	9	2	1	43
EC-02G	79128	3853	83008	109731	45529	24282	0	8741	0	0	0	189	237	0	54	0	3	0	0	6	0	8	13	2	4	60
EC-02H	88577	3485	92082	120833	51944	24652	0	11357	0	0	0	327	116	0	53	0	3	0	0	7	0	15	7	1	12	83
EC-02I	83793	2997	86813	113559	42453	34248	0	6009	0	0	0	671	236	0	97	0	4	0	0	4	0	4	6	1	5	55
EC-02J	86498	3448	89962	117826	47558	27012	0	11194	0	0	0	377	178	0	76	0	5	0	0	4	0	25	12	5	12	40
EC-02K	69863	3073	72958	94755	40327	23111	0	5943	0	0	0	164	192	0	26	0	5	0	0	2	0	7	13	1	12	60
EC-02L	71278	2585	73877	96568	34502	24696	0	11434	0	0	0	306	197	0	57	0	4	0	0	3	0	15	9	2	15	38
EC-02M	58736	2996	61749	80329	25774	21450	0	10956	0	0	0	251	147	0	51	0	4	0	0	2	0	11	11	2	35	42
EC-02P	20927	424	21352	21352	12216	6030	0	2611	0	0	0	25	10	0	21	0	1	0	0	1	0	6	0	1	1	4
EC-03	563019	30741	593760	759974	291208	212721	0	56615	0	0	0	0	432	0	560	0	56	420	161	43	0	79	212	41	100	371
EC-03A	74309	3240	77549	99741	35687	24020	0	14274	0	0	0	0	79	0	113	0	4	35	11	5	0	12	19	6	8	36
EC-03B	78405	3826	82231	104093	41850	27240	0	8989	0	0	0	0	52	0	87	0	3	47	18	6	0	10	26	8	18	51
EC-03C	72666	3407	76073	96686	38421	26764	0	7166	0	0	0	0	41	0	84	0	4	46	26	7	0	12	23	3	28	41
EC-03D	50987	3728	54715	69720	25374	22767	0	2621	0	0	0	0	37	0	34	0	6	40	17	4	0	5	26	5	13	38
EC-03E	66030	4000	70030	90919	36294	24912	0	4542	0	0	0	0	40	0	35	0	14	58	24	4	0	9	34	6	6	52
EC-03F	72854	3766	76620	99940	37958	26255	0	8324	0	0	0	0	47	0	118	0	7	44	19	4	0	7	24	3	6	38
EC-03G	70883	3912	74795	96897	33583	30210	0	6751	0	0	0	0	75	0	37	0	7	94	21	2	0	12	24	5	4	58
EC-03H	63246	4665	67911	88142	33939	26456	0	2538	0	0	0	0	61	0	39	0	10	56	23	7	0	9	35	4	16	53
EC-03P	13639	197	13836	13836	8102	4097	0	1410	0	0	0	0	0	0	13	0	1	0	2	4	0	3	1	1	1	4
EC-04	627866	45484	673380	905133	268131	313859	0	42192	0	0	0	1109	324	0	501	0	37	548	147	178	0	81	233	43	103	380
EC-04A	34241	2523	36764	49964	15896	16645	0	1513	0	0	0	43	19	0	11	0	3	30	3	5	0	3	18	1	28	23
EC-04B	92078	6988	99066	133404	37806	46572	0	7079	0	0	0	183	56	0	84	0	4	93	20	52	0	10	24	3	25	67
EC-04C	45536	4250	49786	69554	16071	26230	0	2946	0	0	0	75	33	0	31	0	7	45	12	11	0	7	20	7	10	31
EC-04D	34049	3749	37798	51360	18319	15285	0	307	0	0	0	20	15	0	12	0	1	26	7	11	0	2	24	1	3	16
EC-04E	27503	2685	30188	39730	13321	13380	0	674	0	0	0	27	14	0	9	0	0	28	7	3	0	0	10	2	1	27
EC-04F	52907	3607	56514	74784	23918	24807	0	3896	0	0	0	112	20	0	28	0	1	40	14	22	0	3	18	3	4	21
EC-04G	40500	3423	43923	59853	16277	22724	0	1253	0	0	0	77	28	0	22	0	3	39	14	3	0	7	18	3	2	30
EC-04H	46338	2424	48762	66995	17403	22435	0	6191	0	0	0	127	11	0	61	0	3	26	10	16	0	11	7	5	13	19
EC-04I	25659	1123	26782	36760	7141	14367	0	3959	0	0	0	70	15	0	59	0	2	12	3	10	0	2	3	2	5	9
EC-04J	50192	2465	52657	69992	22887	22647	0	4376	0	0	0	96	18	0	51	0	1	38	14	6	0	20	12	1	5	20
EC-04K	49155	2999	52154	69844	21739	23413	0	3678	0	0	0	134	25	0	34	0	4	41	11	11	0	4	21	2	2	36
EC-04L	54979	4415	59394	81694	22066	30109	0	2515	0	0	0	63	30	0	34	0	2	68	16	13	0	6	18	3	3	33
EC-04M	50642	4421	55093	76700	22708	25823	0	1793	0	0	0	61	35	0	44	0	2	55	14	10	0	2	39	10	2	44
EC-04P	24087	412	24499	24499	12579	9422	0	2012	0	0	0	21	5	0	21	0	4	7	2	5	0	4	1	0	0	4
EC-05	220062	19549	239611	321374	108259	100642	0	8819	0	0	0	271	1135	0	109	0	33	0	0	0	267	20	0	263	10	234
EC-05A	72660	6905	79565	107353	40616	29456	0	1982	0	0	0	64	264	0	33	0	9	0	0	0	77	9	0	91	3	56
EC-05B	41066	3598	44664	58799	21307	18784	0	579	0	0	0	34	220	0	10	0	5	0	0	0	29	2	0	43	3	50
EC-05C	46266	3910	50176	69860	18496	24058	0	3135	0	0	0	89	263	0	31	0	13	0	0	0	67	5	0	48	2	59
EC-05D	51429	4959	56388	76544	22747	25330	0	2611	0	0	0	81	383	0	32	0	5	0	0	0	90	4	0	80	2	64
EC-05P	8641	177	8818	8818	5093	3014	0	512	0	0	0	3	5	0	3	0	1	0	0	0	4	0	0	1	0	5
EC-06	327609	24413	352022	443506	82945	176971	0	4454	0	49728	0	532	1426	10736	187	0	0	0	0	0	0	53	0	0	23	554
EC-06A	179672	13594	193266	239511	25989	100350	0	2617	0	41563	0	372	1019	7331	113	0	0	0	0	0	0	23	0	0	12	283
EC-06B	47942	2896	50838	65044	15964	25390	0	593	0	4182	0	27	144	1563	11	0	0	0	0	0	0	8	0	0	1	59
EC-06C	43797	3732	47529	61868	16962	25313	0	630	0	574	0	77	73	88	16	0	0	0	0	0	0	9	0	0	6	49
EC-06D	49091	4028	53119	69813	20607	22768	0	395	0	3170	0	51	188	1697	42	0	0	0	0	0	0	11	0	0	4	158
EC-06P	7107	163	7270	7270	3423	3150	0	219	0	239	0	5	2	57	5	0	0	0	0	0	0	2	0	0	0	5
EC-07	541511	30380	571891	734713	306385	209399	0	22826	0	0	0	626	456	0	457	0	121	0	674	32	0	74	164	25	28	244
EC-07A	34217	1489	35706	48387	18002	14117	0	1944	0	0	0	40	30	0	11	0	7	0	37	3	0	2	10	0	0	14
EC-07B	46585	2384	48969	63495	26435	17289	0	2544	0	0	0	80	25	0	99	0	14	0	45	1	0	11	13	0	0	29
EC-07C	45566	2464	48030	62180	29807	14377	0	1187	0	0	0	37	25	0	24	0	9	0	46	3	0	5	12	3	2	29
EC-07D	59750	3369	63119	80943	34840	22243	0	2411	0	0	0	83	49	0	16	0	12	0	45	5	0	4	18	5	3	16
EC-07E	67483	4371	71854	86343	38633	27440	0	1119	0	0	0	50	67	0	15	0	10	0	82	4	0	9	24	5	2	23
EC-07F	62369	4727	67096	83381	35936	24572	0	1368	0	0	0	77	58	0	42	0	5	0	213	7	0	8	28	5	4	46
EC-07G	51355	2913	54268	73009	29413	19408	0	2267	0	0	0	53	44	0	38	0	21	0	49	3	0	17	13	6	1	22
EC-07H	48879	2227	51106	70204	20779	23585	0	4166	0	0	0	85	56	0	110	0	5	0	60	2	0	3	11	1	4	12
EC-07I	55527	3007	58534	76101	30897	21249	0	3095	0	0	0	64	54	0	49	0	16	0	42	4	0	9	16	0	6	26
EC-07J	51970	3135	55105	72566	30648	19417	0	1667	0	0	0	48	42	0	30	0	22	0	51	0	0	3	19	0	2	21
EC-07P	17810	294	18104	18104	10995	5702	0	1058	0	0	0	9	6	0	23	0	0	0	4	0	0	3	0	0	4	6
EC-08	400233	22769	423002	563390	241235	139633	0	16229	0	0	0	718	1526	0	192	0	52	0	0	245	0	33	0	117	26	227
EC-08A	58202	4545	62747	80259	33051	23262	0	1197	0	0	0	123	376	0	29	0	11	0	0	63	0	3	0	36	2	49
EC-08B	54633	3846	58479	79918	34158	18582	0	1421	0	0	0	118	226	0	18	0	10	0	0	34	0	5	0	15	3	43
EC-08C	59282	3427	62709	82330	35747	21318	0	1733	0	0	0	91	253	0	20	0	4	0	0	49	0	5	0	25	6	31
EC-08D	51140	2958	54098	74434	31927	16879	0	1988	0	0	0	102	167	0	17	0	7	0	0	21	0	7	0	7	1	17
EC-08E	49491	2365	51856	71812	30360	16473	0	2331	0	0	0	99	148	0	16	0	6	0	0	15	0	4	0	4	7	28
EC-08F	57091	1999	59090	78465	32967	19458	0	4309	0	0	0	84	146	0	52	0	7	0	0	25	0	4	0	10	3	26
EC-08G	57717	3422	61139	83288	34824	19996	0	2462	0	0	0	92	204	0	36	0	7	0	0	37	0	5	0	20	4	30
EC-08P	12677	207	12884	12884	8201	3665	0	788	0	0	0	9	6	0	4	0	0	0	0	1	0	0	0	0	0	3
EC-09	279310	17724	297034	392949	178895	98877	0	0	0	0	0	328	239	0	195	0	41	0	252	26	0	105	0	21	31	300
EC-09A	57568	4438	62006	85563	34604	22582	0	0	0	0	0	70	51	0	86	0	3	0	61	12	0	15	0	0	8	76
EC-09B	49976	2717	52693	72045	32017	17631	0	0	0	0	0	68	44	0	39	0	20	0	49	3	0	29	0	6	5	65
EC-09C	71528	4121	75649	98376	48744	22472	0	0	0	0	0	68	60	0	27	0	8	0	54	4	0	14	0	4	7	66
EC-09D	91787	6311	98098	128377	57861	33449	0	0	0	0	0	121	83	0	36	0	9	0	82	7	0	31	0	11	11	86
EC-09P	8451	137	8588	8588	5669	2743	0	0	0	0	0	1	1	0	7	0	1	0	6	0	0	16	0	0	0	7
EC-10	280628	20956	301584	648335	0	0	256111	94	278	0	18169	0	279	0	265	0	5147	0	0	0	0	0	0	0	70	215
EC-10A	15454	1282	16736	51911	0	0	13911	4	41	0	1406	0	14	0	11	0	51	0	0	0	0	0	0	0	3	13
EC-10B	26358	2543	28901	61283	0	0	24240	9	9	0	1513	0	42	0	32	0	485	0	0	0	0	0	0	0	7	21
EC-10C	21386	1631	23017	64434	0	0	18499	5	7	0	2395	0	27	0	25	0	405	0	0	0	0	0	0	0	8	15
EC-10D	28158	2268	30426	65218	0	0	23779	20	11	0	3239	0	36	0	54	0	980	0	0	0	0	0	0	0	11	28
EC-10E	29495	2445	31940	61403	0	0	26805	12	16	0	2108	0	32	0	36	0	453	0	0	0	0	0	0	0	9	24
EC-10F	25507	1956	27463	54087	0	0	24172	12	13	0	874	0	25	0	23	0	362	0	0	0	0	0	0	0	6	20
EC-10G	23372	1028	24400	45457	0	0	22400	5	2	0	676	0	22	0	9	0	248	0	0	0	0	0	0	0	1	9
EC-10H	32724	2966	35690	57379	0	0	30882	9	8	0	1252	0	24	0	19	0	492	0	0	0	0	0	0	0	6	32
EC-10I	25659	1465	27124	67672	0	0	22321	5	14	0	2431	0	32	0	30	0	800	0	0	0	0	0	0	0	5	21
EC-10J	18630	1120	19750	57460	0	0	16353	4	151	0	1710	0	6	0	13	0	360	0	0	0	0	0	0	0	11	22
EC-10K	29939	2213	32152	57975	0	0	29574	8	5	0	145	0	18	0	6	0	171	0	0	0	0	0	0	0	2	10
EC-10P	3946	39	3985	4056	0	0	3175	1	1	0	420	0	1	0	7	0	340	0	0	0	0	0	0	0	1	0
EC-11	120848	9665	130513	230847	6415	16213	90252	73	0	0	1084	0	258	0	57	6028	24	0	0	4	0	57	217	18	0	148
EC-11A	31850	2726	34576	72980	179	4413	25631	2	0	0	476	0	92	0	6	945	7	0	0	2	0	17	43	4	0	33
EC-11B	56386	4846	61232	100185	4713	10724	35012	58	0	0	488	0	158	0	44	4908	13	0	0	2	0	37	113	10	0	106
EC-11C	28567	1895	30462	53439	391	277	27667	3	0	0	68	0	7	0	4	71	4	0	0	0	0	2	60	4	0	9
EC-11P	4045	198	4243	4243	1132	799	1942	10	0	0	52	0	1	0	3	104	0	0	0	0	0	1	1	0	0	0
EC-12	241375	12648	254023	308660	26268	6151	161011	17	43131	0	2556	32	71	0	119	1010	102	366	0	30	0	0	0	34	0	477
EC-12A	70783	3862	74645	86626	2706	1364	43503	3	22244	0	568	7	15	0	41	44	52	38	0	13	0	0	0	5	0	180
EC-12B	105811	5592	111403	141190	22716	3819	57144	6	19612	0	1099	24	36	0	57	711	37	307	0	12	0	0	0	22	0	209
EC-12C	60118	3125	63243	76112	299	877	57052	5	652	0	821	1	20	0	20	248	13	12	0	5	0	0	0	7	0	86
EC-12P	4663	69	4732	4732	547	91	3312	3	623	0	68	0	0	0	1	7	0	9	0	0	0	0	0	0	0	2
EC-13	289829	18264	308625	389651	111747	42121	55533	1130	76563	0	1611	66	104	0	50	0	1	335	46	10	0	85	4	20	0	403
EC-13A	90425	7061	97561	132371	55729	31525	62	945	1681	0	232	33	49	0	28	0	0	66	30	4	0	7	0	2	0	32
EC-13B	47862	2955	50894	63166	19117	1664	8976	1	17688	0	178	8	4	0	10	0	0	109	3	2	0	21	0	3	0	78
EC-13C	46504	2506	49231	60456	9189	971	13842	2	21978	0	252	6	4	0	4	0	0	84	5	0	0	16	2	2	0	147
EC-13D	94950	5227	100332	123051	22192	5723	31890	81	33787	0	923	18	45	0	8	0	1	71	7	4	0	41	2	13	0	144
EC-13P	10088	515	10607	10607	5520	2238	763	101	1429	0	26	1	2	0	0	0	0	5	1	0	0	0	0	0	0	2
EC-14	182930	8863	191793	233345	31053	15693	69087	791	65191	0	540	0	0	0	87	0	61	117	0	0	0	65	0	58	0	187
EC-14A	41520	2424	43944	63161	19607	10346	6178	563	4647	0	61	0	0	0	12	0	11	32	0	0	0	12	0	9	0	42
EC-14B	67347	3073	70420	86277	6229	3193	43880	119	13378	0	393	0	0	0	35	0	16	33	0	0	0	10	0	17	0	44
EC-14C	65425	3080	68505	74869	1854	689	17005	21	45523	0	49	0	0	0	32	0	31	50	0	0	0	42	0	30	0	99
EC-14D	330	13	343	457	1	2	132	0	193	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
EC-14P	8308	273	8581	8581	3362	1463	1892	88	1450	0	37	0	0	0	8	0	2	2	0	0	0	1	0	2	0	1
EC-15	793360	40261	833908	1124479	412157	340768	0	37459	0	0	0	1058	265	0	349	0	24	550	191	20	0	64	70	11	25	349
EC-15A	62355	3061	65442	88822	36037	25377	0	795	0	0	0	31	16	0	11	0	1	41	9	4	0	4	8	0	2	19
EC-15B	54066	4086	58185	80736	29545	22885	0	1427	0	0	0	88	25	0	11	0	1	34	13	2	0	4	4	4	1	22
EC-15C	67011	3271	70300	96817	37155	28281	0	1387	0	0	0	48	23	0	22	0	2	48	10	1	0	2	7	0	3	22
EC-15D	54737	3326	58082	83535	26607	25167	0	2740	0	0	0	63	25	0	34	0	0	56	10	2	0	4	5	0	1	23
EC-15E	46145	2617	48772	65847	24886	19554	0	1569	0	0	0	41	12	0	18	0	0	27	7	1	0	2	1	1	0	26
EC-15F	45325	2319	47658	64979	22103	21297	0	1803	0	0	0	39	12	0	16	0	2	26	11	0	0	2	1	2	3	8
EC-15G	54727	2190	56946	75985	27815	24120	0	2504	0	0	0	130	22	0	35	0	3	37	19	1	0	1	10	0	0	30
EC-15H	59746	3021	62788	83645	31388	24936	0	3212	0	0	0	80	17	0	18	0	1	31	17	3	0	4	4	0	6	29
EC-15I	60667	3455	64157	86416	29878	27127	0	3413	0	0	0	109	23	0	18	0	4	39	19	0	0	10	2	1	0	24
EC-15J	59890	2641	62543	83250	31740	24528	0	3422	0	0	0	80	19	0	13	0	1	25	26	0	0	7	4	0	1	24
EC-15K	48349	2090	50453	68091	24473	20435	0	3237	0	0	0	86	16	0	27	0	2	30	8	1	0	3	5	0	3	23
EC-15L	52309	2089	54414	74368	23472	23242	0	5347	0	0	0	92	9	0	45	0	2	37	16	4	0	5	5	1	3	29
EC-15M	51843	2753	54614	75264	24974	23158	0	3391	0	0	0	109	25	0	42	0	2	65	15	0	0	10	7	0	1	44
EC-15N	41800	2739	44557	61727	22426	18073	0	1138	0	0	0	47	19	0	21	0	0	46	10	0	0	2	7	1	0	10
EC-15P	34390	603	34997	34997	19658	12588	0	2074	0	0	0	15	2	0	18	0	3	8	1	1	0	4	0	1	1	16
EC-16	289588	21431	311194	456777	142784	135152	0	10000	0	0	0	785	132	0	169	0	16	229	92	0	0	17	11	26	37	138
EC-16A	55007	4867	59934	90004	20069	34273	0	303	0	0	0	147	37	0	26	0	6	69	13	0	0	3	8	4	17	32
EC-16B	57757	5761	63550	92596	33715	22547	0	1231	0	0	0	98	31	0	24	0	4	47	18	0	0	1	1	11	3	26
EC-16C	63814	4169	68018	98394	31124	29934	0	2352	0	0	0	205	26	0	42	0	4	61	19	0	0	3	1	3	10	30
EC-16D	48499	2953	51477	76097	25270	20461	0	2466	0	0	0	179	22	0	33	0	0	18	16	0	0	3	0	3	1	27
EC-16E	57931	3542	61495	92966	29042	25378	0	3208	0	0	0	151	16	0	40	0	2	31	24	0	0	7	0	5	6	21
EC-16P	6580	139	6720	6720	3564	2559	0	440	0	0	0	5	0	0	4	0	0	3	2	0	0	0	1	0	0	2
EC-17	372125	21281	393406	535444	212943	148612	0	8034	0	0	0	432	1439	0	177	0	33	0	0	0	0	28	0	0	51	376
EC-17A	46573	2361	48934	68897	27978	17809	0	484	0	0	0	38	191	0	9	0	6	0	0	0	0	3	0	0	6	49
EC-17B	44013	2309	46322	65482	24924	18231	0	500	0	0	0	51	244	0	9	0	4	0	0	0	0	4	0	0	4	42
EC-17C	53620	3134	56754	77391	30591	20623	0	2045	0	0	0	70	164	0	48	0	4	0	0	0	0	6	0	0	11	58
EC-17D	54421	3401	57822	81435	28821	23876	0	1260	0	0	0	81	254	0	26	0	5	0	0	0	0	6	0	0	22	70
EC-17E	71123	4454	75577	102138	42639	26744	0	1314	0	0	0	74	242	0	41	0	4	0	0	0	0	2	0	0	2	61
EC-17F	36178	2253	38431	52770	21008	14336	0	602	0	0	0	36	132	0	17	0	6	0	0	0	0	2	0	0	4	35
EC-17G	45546	2725	48271	66036	24446	19606	0	1165	0	0	0	65	186	0	21	0	4	0	0	0	0	4	0	0	1	48
EC-17P	20651	644	21295	21295	12536	7387	0	664	0	0	0	17	26	0	6	0	0	0	0	0	0	1	0	0	1	13
EC-18	185210	12673	197934	260440	106243	75664	0	2413	0	0	0	116	627	0	41	0	13	0	0	4	0	13	13	5	0	58
EC-18A	48944	3746	52711	70308	30342	17522	0	850	0	0	0	32	152	0	12	0	3	0	0	0	0	7	4	0	0	20
EC-18B	47260	3035	50311	66605	26114	20522	0	388	0	0	0	23	182	0	8	0	2	0	0	2	0	2	4	2	0	11
EC-18C	82836	5683	88533	117148	45936	35420	0	1067	0	0	0	59	290	0	20	0	8	0	0	2	0	3	5	3	0	23
EC-18P	6170	209	6379	6379	3851	2200	0	108	0	0	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	4
EC-19	370178	30159	400337	526635	178634	181705	0	6932	0	0	0	610	588	0	248	0	45	0	647	329	0	56	0	141	36	207
EC-19A	52291	3442	55733	74365	27727	23822	0	363	0	0	0	47	76	0	27	0	4	0	89	58	0	16	0	18	8	36
EC-19B	28148	2556	30704	42921	14805	12874	0	211	0	0	0	33	50	0	3	0	7	0	55	51	0	9	0	16	8	26
EC-19C	35397	3628	39025	52719	13779	21016	0	279	0	0	0	79	77	0	12	0	5	0	94	23	0	4	0	11	2	16
EC-19D	32731	1980	34711	46872	15103	15825	0	1586	0	0	0	45	43	0	18	0	7	0	45	21	0	2	0	9	4	23
EC-19E	38100	3886	41986	55733	17926	19125	0	725	0	0	0	64	66	0	13	0	8	0	81	36	0	6	0	17	1	32
EC-19F	38699	3275	41974	53690	19946	18030	0	357	0	0	0	62	52	0	113	0	3	0	67	30	0	2	0	20	3	14
EC-19G	44522	3851	48373	62308	23040	20441	0	775	0	0	0	67	53	0	8	0	3	0	67	32	0	6	0	12	3	15
EC-19H	47348	3780	51128	67710	21784	23791	0	1343	0	0	0	158	79	0	19	0	4	0	73	44	0	6	0	24	3	20
EC-19I	37708	3475	41183	54797	15499	21258	0	639	0	0	0	45	92	0	26	0	3	0	73	34	0	1	0	14	4	20
EC-19P	15234	286	15520	15520	9025	5523	0	654	0	0	0	10	0	0	9	0	1	0	3	0	0	4	0	0	0	5
EC-20	192113	12816	204929	270250	117456	71067	0	2675	0	0	0	158	135	0	76	0	17	0	275	87	0	19	0	39	11	98
EC-20A	45527	3255	48782	65934	27149	17851	0	293	0	0	0	35	41	0	13	0	3	0	82	22	0	3	0	9	4	22
EC-20B	56996	4142	61138	83194	34503	21593	0	586	0	0	0	54	42	0	26	0	5	0	78	43	0	7	0	14	4	41
EC-20C	82205	5296	87501	113614	51137	29102	0	1618	0	0	0	68	50	0	34	0	8	0	112	22	0	8	0	16	3	27
EC-20P	7385	123	7508	7508	4667	2521	0	178	0	0	0	1	2	0	3	0	1	0	3	0	0	1	0	0	0	8
EC-21	492003	28346	520349	655498	261450	205490	0	20801	0	0	0	585	649	0	1336	0	40	0	738	307	0	51	0	199	49	308
EC-21A	60764	3220	63984	81652	31341	24934	0	3142	0	0	0	74	104	0	944	0	4	0	94	48	0	7	0	28	1	43
EC-21B	73213	3926	77139	97357	37386	29670	0	5605	0	0	0	144	67	0	79	0	4	0	120	41	0	8	0	30	20	39
EC-21C	48513	3069	51582	63305	23403	22745	0	1979	0	0	0	52	100	0	50	0	1	0	83	39	0	3	0	21	4	33
EC-21D	62539	4340	66879	85285	32042	27685	0	2364	0	0	0	87	87	0	53	0	5	0	81	51	0	6	0	30	4	44
EC-21E	59971	3408	63379	81393	29509	28453	0	1644	0	0	0	46	74	0	26	0	4	0	95	41	0	9	0	23	2	45
EC-21F	59106	3134	62240	75915	32331	25321	0	1076	0	0	0	41	89	0	65	0	11	0	95	25	0	2	0	22	7	21
EC-21G	39120	2322	41442	50558	22501	15726	0	660	0	0	0	28	43	0	26	0	3	0	64	20	0	5	0	14	3	27
EC-21H	80446	4795	85241	111570	48051	28117	0	3749	0	0	0	111	84	0	79	0	8	0	104	42	0	10	0	31	6	54
EC-21P	8331	132	8463	8463	4886	2839	0	582	0	0	0	2	1	0	14	0	0	0	2	0	0	1	0	0	2	2
EC-22	421134	25685	446816	585910	214267	186641	0	18034	0	0	0	488	487	0	307	0	29	356	0	26	0	85	87	14	3	310
EC-22A	57651	3132	60780	78357	28964	26328	0	2095	0	0	0	36	77	0	16	0	6	37	0	2	0	40	10	4	3	33
EC-22B	43565	2373	45938	60550	22980	18693	0	1715	0	0	0	36	44	0	18	0	1	39	0	6	0	6	7	1	0	19
EC-22C	44307	2276	46583	62561	23778	17509	0	2834	0	0	0	71	37	0	28	0	0	18	0	0	0	4	7	4	0	17
EC-22D	41477	2316	43793	58588	22187	16858	0	2256	0	0	0	41	20	0	22	0	1	23	0	1	0	13	11	1	0	43
EC-22E	52874	2853	55727	76115	23290	26099	0	3151	0	0	0	89	66	0	32	0	3	82	0	9	0	3	9	0	0	41
EC-22F	33862	2032	35894	48731	16911	15321	0	1458	0	0	0	40	46	0	12	0	3	39	0	1	0	0	8	1	0	22
EC-22G	44966	3910	48876	64170	22081	21500	0	1083	0	0	0	46	74	0	87	0	6	43	0	2	0	1	15	2	0	26
EC-22H	46763	2880	49643	64110	24746	19950	0	1760	0	0	0	83	50	0	56	0	4	29	0	1	0	5	5	1	0	73
EC-22I	40387	3584	43971	57117	20436	18881	0	824	0	0	0	42	70	0	27	0	5	44	0	4	0	7	15	0	0	32
EC-22P	15282	329	15611	15611	8894	5502	0	858	0	0	0	4	3	0	9	0	0	2	0	0	0	6	0	0	0	4
LK	9238533	534175	9774146	13180315	4223126	3486792	631994	552722	185163	49728	24499	14956	14318	10736	8451	7038	5994	3779	3773	2090	1540	1391	1192	1149	1136	6848
