entity_id	timestamp	electors	polled	valid	rejected	NPP	SJB	IND16	SLPP	IND9	SLCP	IND4	IND13	IND12	JPF	IND11	IND5	APP	DUNF	NSSP	SBP	IND1	SPF	RJA	IND10	IND2	USP	JSP	DUA	IND14	SLSP	AJP	SEP	NIF	IND15	NDF	IND6	UNFF	IND7	ELPP	IND8	NSU	SLLP
EC-02A	2024-09-22 15:31:24:600	138957	105300	102774	2526	47505	32391	18094	1719	235	1116	145	212	140	86	108	71	45	61	60	73	65	102	74	34	44	29	56	45	20	18	24	32	27	23	17	18	17	15	7	23	7	16
EC-02B	2024-09-22 15:23:51:815	115968	83996	82306	1690	45206	24484	9284	1112	192	429	195	214	92	56	112	90	50	50	35	49	50	82	92	28	36	30	23	35	14	34	15	24	25	37	21	15	23	22	13	11	13	13
EC-02C	2024-09-22 15:45:54:107	167689	129011	126599	2412	69944	33262	15984	4030	66	1144	171	253	147	107	124	138	81	146	47	126	67	72	90	38	59	44	56	38	48	45	31	18	27	27	24	30	20	31	20	12	17	15
EC-02D	2024-09-22 15:23:13:256	118718	95890	94127	1763	46362	28540	11013	5485	19	978	129	199	121	110	78	91	75	140	40	125	62	55	69	23	51	32	47	39	32	26	16	15	14	18	24	15	22	23	12	10	8	9
EC-02E	2024-09-22 15:18:52:728	132932	107360	105288	2072	56245	28642	14455	2975	19	951	135	215	140	133	94	116	70	168	55	124	69	75	77	43	53	35	78	28	25	28	24	18	18	24	17	32	26	16	14	35	10	6
EC-02F	2024-09-22 14:55:36:349	149482	120450	118228	2222	66829	28968	16480	2761	18	1150	138	234	172	130	91	107	78	161	64	86	67	86	98	40	46	35	79	41	14	27	25	18	25	33	19	24	24	13	21	3	13	10
EC-02G	2024-09-22 15:00:48:500	145602	117133	114974	2159	63916	28714	16223	2840	21	1188	144	247	137	133	73	115	60	167	71	116	67	86	77	27	51	30	79	44	28	44	40	27	24	26	32	32	22	23	25	6	8	11
EC-02H	2024-09-22 15:46:30:496	163087	129076	126790	2286	78778	22130	18138	3709	19	1909	84	267	171	117	93	92	47	182	51	141	67	115	93	25	51	34	109	32	13	25	52	42	29	29	29	15	31	23	25	4	13	6
EC-02I	2024-09-22 15:29:23:700	163461	124374	121990	2384	71351	27567	16907	2917	44	1550	95	219	161	100	77	73	36	122	51	97	42	78	89	21	34	29	55	21	10	21	28	30	20	30	7	18	26	15	21	9	8	11
EC-02J	2024-09-22 15:39:49:861	169884	134312	131741	2571	76417	26979	20818	3548	11	1886	122	226	183	128	81	82	52	203	55	118	74	123	102	33	31	27	89	36	16	37	35	33	20	38	17	19	32	19	15	8	15	13
EC-02K	2024-09-22 15:26:56:109	127767	104895	102669	2226	55130	24009	16750	3595	21	1335	134	212	127	86	85	105	58	142	61	113	71	56	80	36	44	30	61	39	22	44	29	15	27	24	27	28	11	24	12	9	7	10
EC-02L	2024-09-22 14:56:16:315	138720	110992	109045	1947	61452	20439	20314	3212	24	1906	86	226	112	93	63	90	23	184	57	92	49	94	73	26	32	31	54	28	17	40	35	30	17	23	18	22	15	19	16	14	9	10
EC-02M	2024-09-22 14:40:10:309	96376	72976	71269	1707	37049	17042	12452	2347	33	1160	74	106	173	72	41	57	25	74	44	78	36	58	47	15	21	19	54	22	11	24	27	18	15	22	7	2	8	11	6	7	6	6
EC-02P	2024-09-22 05:27:42:167	52486	52005	50589	1416	33226	6383	9116	943	9	441	17	23	64	40	8	5	4	57	8	59	21	63	12	2	9	4	25	1	0	6	11	5	5	6	3	0	3	0	4	3	2	1
EC-03A	2024-09-22 14:52:47:351	125088	99534	97478	2056	48586	25032	17641	2666	15	1891	118	161	145	91	89	69	31	104	46	78	61	104	51	24	43	47	63	32	28	21	30	24	22	60	16	22	25	14	11	2	8	7
EC-03B	2024-09-22 14:58:17:555	154272	126420	124017	2403	60752	33363	21996	3573	26	1876	193	254	160	125	114	133	73	188	91	123	84	145	99	42	61	46	79	34	39	42	40	39	32	32	38	26	19	25	15	9	16	15
EC-03C	2024-09-22 14:53:38:112	140590	113953	111516	2437	54322	27090	23064	3024	30	1786	188	177	187	142	102	135	83	170	89	106	92	80	74	50	49	44	68	37	31	33	40	20	37	32	26	32	17	19	17	5	10	8
EC-03D	2024-09-22 15:28:16:394	86639	70832	69098	1734	28025	23773	11903	2693	26	729	210	150	149	102	98	124	80	76	50	96	78	93	56	60	59	59	40	46	59	23	26	41	24	16	30	18	29	15	19	7	6	10
EC-03E	2024-09-22 15:12:34:099	117866	94912	93120	1792	43598	27738	16046	2580	43	890	288	201	168	126	87	135	103	84	85	105	83	118	80	61	65	45	37	38	41	33	35	30	26	26	29	28	18	16	13	7	6	8
EC-03F	2024-09-22 15:43:18:587	127561	101657	99798	1859	52607	25006	17078	1997	19	1293	151	176	136	83	75	108	47	115	62	58	85	198	67	29	46	28	56	20	23	37	16	12	36	26	21	21	19	20	6	5	11	5
EC-03G	2024-09-22 15:22:36:081	130456	104555	102804	1751	44146	39007	14583	2414	28	510	312	179	161	123	105	132	68	77	58	80	60	118	73	47	64	48	28	52	40	27	23	18	26	23	34	41	26	18	15	14	13	13
EC-03H	2024-09-22 15:28:46:346	104424	85176	83728	1448	34139	29833	13518	3117	24	896	252	194	158	109	97	117	124	81	67	113	91	114	72	79	67	57	51	35	56	35	24	28	21	20	28	27	16	25	18	10	8	7
EC-03P	2024-09-22 11:06:07:148	37348	36722	35959	763	21589	5465	7456	663	4	390	18	29	53	37	6	7	2	30	13	30	18	43	10	3	5	3	12	5	1	7	7	5	6	14	1	1	7	2	10	3	2	2
EC-04A	2024-09-22 06:46:16:147	54236	43498	42603	895	18232	15568	5982	1224	9	386	125	165	77	101	50	52	47	66	38	38	39	11	48	35	35	29	28	24	29	16	15	13	19	15	13	19	21	4	8	7	6	9
EC-04B	2024-09-22 11:17:39:098	173626	137678	134611	3067	59456	50539	17182	2732	31	1167	467	438	201	246	181	186	120	187	102	108	106	106	110	99	115	86	75	73	53	46	48	41	38	46	36	47	27	19	19	24	29	25
EC-04C	2024-09-22 08:34:17:241	93042	73133	71337	1796	26788	29760	10539	1367	32	589	396	159	125	201	103	87	73	163	101	62	70	33	59	82	62	54	34	62	66	21	22	38	39	24	18	24	15	14	16	18	15	6
EC-04D	2024-09-22 09:27:00:203	61289	51003	50022	981	17226	22336	6280	2386	16	200	269	161	104	114	73	62	71	43	79	64	79	24	44	62	36	39	8	29	25	19	28	8	27	11	20	16	21	7	9	6	9	11
EC-04E	2024-09-22 16:24:32:367	50662	41231	39930	1301	14817	15332	7192	795	13	427	251	133	87	88	58	59	30	36	80	24	55	8	40	50	48	36	21	40	22	16	36	14	17	15	18	23	11	11	6	8	7	6
EC-04F	2024-09-22 08:32:36:056	106339	84868	82768	2100	38452	27999	11628	1933	45	914	224	179	127	133	87	66	70	138	60	65	77	47	51	45	44	32	45	32	17	26	35	27	25	21	13	15	28	14	8	26	8	12
EC-04G	2024-09-22 11:43:32:661	74173	59218	57514	1704	19457	23658	10729	1469	50	406	292	172	94	128	86	70	53	72	87	64	68	18	50	72	67	43	32	37	30	18	23	21	42	13	14	20	13	12	12	6	11	5
EC-04H	2024-09-22 08:41:15:468	87760	66329	64635	1694	30655	17851	13139	1018	37	849	97	107	100	81	40	54	23	67	47	38	41	18	32	31	22	30	42	20	10	25	28	16	9	25	13	9	12	11	21	8	3	6
EC-04I	2024-09-22 07:03:03:940	41303	30643	30109	534	13336	9083	6361	380	53	416	46	37	45	30	32	12	10	26	19	15	14	18	15	6	11	11	15	9	5	8	25	11	9	9	4	3	8	5	7	3	8	4
EC-04J	2024-09-22 11:41:47:885	85893	68742	67192	1550	32909	19374	11196	1409	12	927	120	161	118	74	63	70	47	72	50	41	57	34	47	30	49	36	57	19	23	18	32	23	19	10	12	16	18	12	16	9	9	3
EC-04K	2024-09-22 11:26:49:356	89918	72400	70827	1573	33232	23326	10383	1367	17	845	199	207	115	122	79	85	59	70	58	47	47	65	58	42	61	42	37	34	23	29	31	25	21	12	14	12	14	17	6	11	10	5
EC-04L	2024-09-22 09:50:12:211	113385	89948	87198	2750	28750	31503	21991	1652	49	859	389	206	175	163	99	84	62	63	132	46	91	85	80	76	89	73	39	56	48	29	54	50	29	25	32	31	13	22	12	20	12	9
EC-04M	2024-09-22 10:25:27:276	103976	83784	81070	2714	28929	28535	19470	969	59	687	373	208	166	161	111	119	85	93	131	43	76	31	72	127	84	78	40	48	31	38	44	64	39	22	21	30	24	13	13	15	12	9
EC-04P	2024-09-22 06:02:55:223	55797	55194	53700	1494	32295	9134	10635	702	10	426	30	32	50	26	12	4	4	80	15	44	17	48	9	7	8	5	24	4	2	10	11	3	4	17	5	10	7	1	7	0	1	1
EC-05A	2024-09-22 14:54:48:308	143731	116008	113904	2104	53299	36684	16285	3263	30	951	406	501	185	263	175	167	153	176	119	101	122	60	104	100	99	67	58	54	56	65	33	46	50	33	36	38	31	32	19	12	17	14
EC-05B	2024-09-22 14:10:09:567	73955	61277	59939	1338	20838	24828	9022	2756	23	429	318	228	138	183	94	79	99	45	80	68	83	16	55	74	65	56	30	34	41	24	30	18	31	19	25	27	21	22	9	12	10	9
EC-05C	2024-09-22 14:17:03:870	90943	70670	68857	1813	27693	25117	11712	1691	96	690	223	231	129	154	88	77	62	92	78	54	82	29	56	58	50	51	34	31	28	26	21	32	20	18	18	27	11	17	14	20	13	14
EC-05D	2024-09-22 14:25:26:321	99695	78288	76106	2182	26528	31358	12567	2245	51	637	403	238	164	256	119	118	103	89	110	73	116	69	94	98	79	112	72	62	58	23	24	32	34	18	35	18	19	24	20	14	12	14
EC-05P	2024-09-22 02:13:33:485	21667	21412	20928	484	12186	3816	4243	372	3	128	15	27	21	12	3	3	1	16	10	17	9	6	8	1	0	4	4	0	0	1	2	0	3	6	3	1	3	0	1	0	1	2
EC-06A	2024-09-22 14:32:44:195	340077	268584	260273	8311	38416	117232	91005	2689	603	869	2190	375	592	566	473	224	326	118	733	159	332	108	163	490	352	373	132	187	274	83	189	239	123	89	53	101	68	34	48	154	43	68
EC-06B	2024-09-22 14:10:53:304	85188	68924	67115	1809	17727	27043	18250	1458	60	431	440	129	141	107	97	89	61	68	131	49	98	11	58	83	94	74	34	44	56	24	31	34	28	33	10	25	22	13	16	25	7	14
EC-06C	2024-09-22 14:26:55:122	73426	60835	59165	1670	22894	23309	9137	1358	32	350	371	161	146	111	74	118	101	52	103	54	106	23	49	93	54	88	36	46	53	23	26	27	35	16	15	28	20	18	10	9	7	12
EC-06D	2024-09-22 12:11:12:415	86874	70724	68407	2317	17074	29896	15140	3008	85	280	566	149	167	109	120	103	81	97	130	96	109	80	125	118	111	80	34	54	47	52	30	61	26	17	27	137	33	45	30	24	34	32
EC-06P	2024-09-22 02:43:56:178	19727	19511	18975	536	8946	4334	5087	308	13	73	47	14	13	11	1	3	10	17	5	11	6	24	3	2	5	1	4	2	1	3	2	2	4	0	1	1	1	1	2	16	1	0
EC-07A	2024-09-22 05:26:46:825	54973	41544	40821	723	20096	12339	5345	1689	5	403	96	96	53	69	44	43	47	31	22	71	26	38	51	30	19	17	17	16	11	17	24	26	6	13	7	10	17	12	5	6	1	3
EC-07B	2024-09-22 04:41:18:810	79794	63483	62314	1169	33026	17453	7428	2245	18	699	111	154	96	96	59	82	45	63	53	95	41	121	68	23	49	37	36	24	28	29	20	8	13	18	15	12	15	16	8	5	2	3
EC-07C	2024-09-22 08:31:51:703	77636	60370	59563	807	32895	15110	7032	2310	12	537	124	207	85	89	76	87	65	70	59	66	65	198	80	35	46	30	31	19	21	33	20	19	13	16	26	16	10	15	13	7	12	14
EC-07D	2024-09-22 07:51:16:353	92167	73402	72137	1265	35612	19733	11595	2571	21	822	159	193	120	97	80	112	86	87	62	71	64	143	68	34	54	46	29	29	18	27	17	16	26	13	22	26	21	21	17	8	7	10
EC-07E	2024-09-22 08:37:42:805	103104	83698	82256	1442	35677	25388	14741	3013	28	876	263	263	176	147	92	167	161	81	114	82	92	91	96	80	67	80	40	53	52	32	39	22	31	21	33	40	20	31	28	14	12	13
EC-07F	2024-09-22 08:36:59:506	100243	81522	79931	1591	37301	23442	12963	3204	25	820	254	245	140	109	85	137	103	93	69	104	99	110	63	56	65	51	33	39	42	28	34	19	26	20	34	25	29	26	11	8	9	10
EC-07G	2024-09-22 07:19:35:249	80860	61871	60755	1116	30323	17157	8004	3236	14	623	130	141	89	66	63	81	47	65	45	115	37	88	57	19	39	34	27	19	23	27	13	26	16	13	23	19	25	16	13	7	10	5
EC-07H	2024-09-22 09:29:41:517	83799	66221	65220	1001	34839	17935	9478	1220	7	718	102	124	85	65	58	50	18	47	35	40	28	46	50	17	21	19	30	24	10	17	21	13	14	18	10	12	10	16	4	9	6	4
EC-07I	2024-09-22 08:36:16:351	103687	83360	82005	1355	45632	18731	12922	1990	16	1198	100	170	104	84	69	87	77	68	51	75	74	93	69	23	60	31	38	28	23	24	22	10	15	16	16	14	13	12	17	12	10	11
EC-07J	2024-09-22 08:59:05:944	85463	68823	67678	1145	35428	16929	10602	2041	16	1192	113	169	100	62	60	85	68	59	64	79	58	101	60	22	48	38	34	20	30	21	24	18	19	15	20	16	12	17	9	10	11	8
EC-07P	2024-09-22 01:16:42:151	41437	41067	40140	927	25892	5338	7226	863	3	375	13	26	57	28	6	4	4	34	13	68	24	57	11	3	5	9	19	4	1	6	5	1	2	12	7	4	4	1	8	1	5	1
EC-08A	2024-09-22 14:20:20:899	104770	83889	81968	1921	36007	24580	14479	3098	27	1007	343	279	176	161	123	180	130	51	107	84	115	81	132	120	106	96	45	52	49	43	25	40	29	23	29	34	27	24	19	10	15	22
EC-08B	2024-09-22 14:30:53:795	95213	77020	75650	1370	35101	21442	13273	2608	29	1058	207	231	136	129	93	145	97	54	82	101	90	61	86	64	76	52	50	42	45	35	32	26	20	20	46	29	20	25	17	7	13	8
EC-08C	2024-09-22 08:42:37:423	98112	80406	79125	1281	41067	21265	12154	1678	13	1344	163	198	105	57	57	154	67	61	69	69	58	27	75	40	44	35	42	31	36	35	27	36	16	12	15	21	10	20	6	8	3	7
EC-08D	2024-09-22 08:29:14:391	82533	67044	65880	1164	35076	18548	8265	1802	6	910	104	191	77	72	51	109	56	58	37	75	29	42	64	28	33	28	38	13	21	28	4	10	9	18	9	17	13	17	6	7	6	3
EC-08E	2024-09-22 08:38:33:249	81870	64430	63462	968	34690	19516	5701	1775	11	671	81	134	78	76	65	67	45	39	28	74	24	35	70	22	27	25	36	16	23	25	8	8	18	10	15	14	11	5	6	4	5	4
EC-08F	2024-09-22 04:17:28:681	92643	74902	73791	1111	43827	16822	9661	1489	14	1003	51	139	78	58	40	61	21	51	35	60	21	42	37	15	23	19	56	11	9	25	17	14	7	17	7	13	15	8	11	6	5	3
EC-08G	2024-09-22 05:49:29:024	100152	79828	78549	1279	42182	21248	10628	1969	14	1064	135	189	116	80	71	126	52	56	35	75	33	36	60	30	44	27	32	30	29	26	21	12	21	8	18	22	19	12	11	8	2	8
EC-08P	2024-09-22 02:31:44:111	30882	30497	29904	593	19712	4041	5088	543	1	259	10	18	25	19	1	3	2	21	6	41	6	38	11	3	1	2	10	5	0	3	5	3	3	11	2	1	2	2	2	0	2	2
EC-09A	2024-09-22 06:48:04:301	106421	87940	86526	1414	41086	26614	9192	6250	22	841	229	342	140	223	96	182	116	74	65	134	52	88	103	90	64	75	38	43	51	48	22	22	19	19	55	28	23	23	18	16	8	15
EC-09B	2024-09-22 06:35:20:632	79751	65198	64239	959	34321	16820	5460	5385	13	700	99	271	88	96	70	88	65	49	38	129	20	73	72	38	30	26	36	26	26	23	27	9	13	22	21	19	11	17	18	7	4	9
EC-09C	2024-09-22 07:22:33:346	130755	108121	106537	1584	59117	28857	9056	5964	25	863	203	483	139	179	97	183	107	94	82	177	46	81	144	76	60	70	59	41	50	48	19	16	23	29	33	30	27	22	13	5	8	11
EC-09D	2024-09-22 08:31:06:113	181846	150248	148211	2037	72907	55815	7007	8289	38	469	282	676	183	274	232	210	152	155	79	239	76	94	159	109	84	66	93	61	65	81	31	25	16	23	56	35	34	34	19	14	11	18
EC-09P	2024-09-22 01:03:44:412	22167	21998	21549	449	14482	3397	2502	819	5	105	13	20	13	31	2	2	2	13	7	53	9	31	4	1	4	5	4	2	0	1	1	0	1	4	2	2	3	2	1	2	0	4
EC-10A	2024-09-22 09:18:28:221	24860	17202	16174	1028	593	3687	5155	31	5726	9	259	24	37	39	16	23	31	6	47	16	32	16	18	67	27	34	15	19	21	24	9	90	15	9	15	14	9	7	6	9	7	12
EC-10B	2024-09-22 09:35:54:564	52092	34026	31589	2437	1887	8749	7367	80	11170	62	600	52	97	122	58	60	91	24	79	29	106	43	35	131	80	123	42	61	39	67	26	48	39	27	47	17	20	17	25	26	25	18
EC-10C	2024-09-22 08:33:15:138	45989	29737	27593	2144	1935	8708	6587	66	8365	83	553	52	63	90	57	62	75	18	50	31	79	33	24	102	55	83	40	36	31	44	21	22	39	23	40	26	13	24	15	15	22	11
EC-10D	2024-09-22 09:41:48:117	60144	39974	37330	2644	2886	11609	8871	84	11587	113	629	62	77	117	55	71	70	26	86	34	91	49	55	119	60	80	32	51	38	68	19	37	37	29	50	24	16	10	19	21	33	15
EC-10E	2024-09-22 09:51:13:765	62449	40104	37287	2817	2541	12639	7654	81	11410	47	867	40	99	126	88	93	93	24	63	46	97	304	32	156	62	109	44	62	53	78	23	42	41	42	50	36	31	13	23	32	28	18
EC-10F	2024-09-22 09:43:59:006	41255	24169	22583	1586	1670	5996	5259	36	8467	10	295	32	62	56	44	35	33	15	43	19	43	24	14	68	25	48	21	28	18	37	15	9	28	11	31	20	15	16	6	10	14	10
EC-10G	2024-09-22 08:35:26:026	39681	24536	22988	1548	1806	6100	5162	47	8658	21	338	37	57	39	26	36	55	14	33	19	43	13	23	81	40	36	29	35	15	50	12	11	25	17	18	17	13	16	8	12	14	12
EC-10H	2024-09-22 08:30:09:417	55829	33449	31186	2263	2692	10956	6160	75	9159	30	624	73	89	115	70	72	116	22	68	35	82	40	27	101	48	106	30	42	27	43	25	20	37	27	45	23	19	21	17	24	16	10
EC-10I	2024-09-22 03:28:07:213	50853	33386	31526	1860	3835	7464	8804	76	10097	29	276	42	60	46	46	49	44	16	53	22	46	33	27	67	37	36	17	39	18	49	12	23	24	17	30	16	13	12	9	16	17	9
EC-10J	2024-09-22 05:18:13:725	37355	26028	24786	1242	2186	7058	7080	43	7494	32	198	28	49	31	47	33	27	8	45	20	28	13	27	64	32	28	12	21	11	32	7	14	19	12	21	11	10	7	12	12	6	8
EC-10K	2024-09-22 08:26:56:242	97251	69280	64585	4695	2805	30571	7182	102	20348	42	1238	59	167	226	182	73	173	35	92	39	104	33	40	210	66	118	43	51	72	100	29	64	54	30	54	28	30	24	28	20	31	22
EC-10P	2024-09-22 05:19:22:588	25429	25150	24061	1089	2250	7640	9277	79	4207	17	197	7	44	12	23	22	8	7	25	20	31	16	7	12	8	16	6	18	3	8	3	12	5	17	4	7	6	5	2	29	8	3
EC-11A	2024-09-22 08:43:24:729	86509	65494	63412	2082	4276	28491	17181	125	10757	21	802	104	144	152	104	64	102	18	141	24	70	15	44	103	60	110	25	55	43	52	28	38	49	31	56	34	17	17	18	18	11	12
EC-11B	2024-09-22 08:40:24:333	122860	89203	85808	3395	11591	33731	24018	671	11650	146	1105	187	232	251	146	103	174	53	179	59	168	113	73	139	125	147	44	81	85	65	58	57	62	37	50	33	27	32	30	29	40	17
EC-11C	2024-09-22 07:46:55:612	83323	58845	55285	3560	3453	28301	7117	215	12810	49	1220	58	158	273	165	63	170	32	86	53	101	20	35	184	49	143	36	63	46	61	32	30	44	30	37	29	23	27	24	19	19	10
EC-11P	2024-09-22 01:20:07:170	13389	13108	12764	344	2092	4899	4257	68	1160	13	113	17	17	6	6	6	6	5	11	5	8	6	2	5	3	4	3	8	3	3	1	2	5	3	6	2	3	2	3	6	3	2
EC-12A	2024-09-22 11:01:54:784	131380	94798	92438	2360	7504	45325	24782	165	10890	76	983	119	254	226	197	74	249	23	207	45	128	46	61	159	74	115	33	64	70	85	57	58	74	43	69	54	18	23	28	23	21	16
EC-12B	2024-09-22 11:03:00:843	203232	151599	147738	3861	24168	64068	41538	247	12758	75	1151	265	327	392	263	151	283	36	267	61	127	62	103	210	112	170	30	90	78	94	64	56	61	56	54	90	37	37	28	38	51	40
EC-12C	2024-09-22 14:30:13:901	101958	68188	65768	2420	4681	26512	18845	128	12356	53	883	100	167	194	143	82	236	26	145	53	74	19	52	163	76	119	19	41	73	66	44	49	65	37	61	48	14	32	18	28	27	39
EC-12P	2024-09-22 03:29:18:491	13116	12939	12704	235	2479	3205	5967	19	901	7	40	10	11	10	6	3	0	2	4	2	2	5	3	3	5	2	1	2	2	0	3	1	0	1	1	0	0	0	0	4	2	1
EC-13A	2024-09-22 11:11:44:193	172611	144256	142294	1962	60292	53410	18577	5630	28	641	414	453	257	335	194	179	159	117	120	159	117	185	129	101	73	93	46	52	77	56	57	33	36	32	67	52	23	28	25	20	12	15
EC-13B	2024-09-22 10:15:30:631	97118	70567	69464	1103	8569	41791	15344	132	2299	13	268	79	83	126	94	39	74	11	74	9	33	13	23	67	33	37	10	30	38	13	14	20	34	17	14	19	5	9	4	10	7	9
EC-13C	2024-09-22 10:14:30:865	80368	58150	57200	950	10937	26873	15686	93	2623	42	118	95	72	54	64	39	43	13	62	12	33	3	33	40	30	23	12	12	23	18	12	15	22	25	12	16	6	3	8	4	16	8
EC-13D	2024-09-22 11:57:07:518	178557	130430	128373	2057	18053	70942	30263	1397	4802	77	604	175	191	189	208	74	149	43	147	38	83	34	53	135	63	86	25	59	58	42	35	41	46	86	49	30	23	16	12	13	19	13
EC-13P	2024-09-22 03:55:52:125	26778	26557	26066	491	11120	7368	6719	318	233	27	48	25	22	16	8	9	6	9	6	15	19	26	7	3	7	4	4	10	2	8	1	3	0	3	1	6	2	0	2	1	3	5
EC-14A	2024-09-22 09:12:23:465	80269	65576	64259	1317	22724	26527	8603	1283	2412	556	416	211	87	160	77	52	74	33	56	50	61	257	46	56	22	104	20	41	36	79	20	13	24	14	31	35	17	15	7	17	13	10
EC-14B	2024-09-22 09:05:59:512	101481	76427	73919	2508	12976	31371	15403	466	11300	214	542	136	110	129	119	49	81	52	106	28	68	48	45	92	52	72	28	65	33	54	20	26	28	26	44	17	19	19	12	32	22	15
EC-14C	2024-09-22 11:29:31:209	119211	88499	86820	1679	8706	58153	12860	305	4381	65	750	100	167	164	141	39	114	25	102	30	53	26	34	119	34	78	19	36	69	31	33	19	20	28	26	17	9	9	12	15	17	14
EC-14P	2024-09-22 01:19:15:757	14964	14780	14463	317	5480	4537	3630	129	431	39	38	21	15	14	10	6	2	5	13	11	10	14	6	1	3	4	2	7	0	3	4	4	0	4	1	3	1	6	2	4	2	1
EC-15A	2024-09-22 15:04:15:298	106867	87296	86150	1146	39180	32418	7972	3915	21	507	246	328	113	142	121	141	152	51	69	92	60	23	82	71	52	41	19	22	57	45	18	25	23	19	43	25	20	7	6	2	12	10
EC-15B	2024-09-22 15:03:29:479	99694	80596	79164	1432	34275	30228	8400	3776	19	422	263	262	114	144	118	109	155	47	56	123	54	22	72	61	44	45	34	34	41	35	28	22	16	5	36	28	19	15	15	9	9	9
EC-15C	2024-09-22 15:08:45:680	119043	95956	94379	1577	43766	34181	10219	3025	16	697	181	301	142	149	105	142	155	117	78	390	58	36	95	72	46	43	29	36	42	43	19	10	20	10	43	23	18	24	18	12	11	7
EC-15D	2024-09-22 15:17:00:896	104903	83744	82471	1273	40870	28608	7757	2773	19	483	184	245	115	130	107	133	128	97	68	92	70	29	68	54	45	42	35	23	49	27	26	19	25	15	33	21	22	21	14	6	8	10
